onset	duration	trial_type	image_category	imnet_filename	reaction_time
0.0	0.5	scramble	male	n09624168_3079	n/a
1.0164	0.5	scramble	female	n09619168_455	n/a
2.0163	0.5	scramble	SiberianHusky	n02110185_4990	n/a
3.0162	0.5	scramble	SiberianHusky	n02110185_3992	n/a
4.0162	0.5	scramble	jeep	n03594945_6534	n/a
5.0161	0.5	scramble	female	n09619168_46	n/a
6.0161	0.5	scramble	SiberianHusky	n02110185_4226	n/a
6.75	0.25	fixation_change	n/a	n/a	n/a
7.016	0.5	scramble	SiberianHusky	n02110185_4989	n/a
7.1576	0.0	response	n/a	n/a	0.4076
8.016	0.5	scramble	fighter	n03335030_3350	n/a
9.0159	0.5	scramble	toy_poodle	n02113624_574	n/a
9.625	0.25	fixation_change	n/a	n/a	n/a
10.0106	0.0	response	n/a	n/a	0.3856
10.0159	0.5	image	male	n09624168_3079	n/a
11.0158	0.5	image	female	n09619168_46	n/a
12.0157	0.5	image	male	n09624168_3098	n/a
13.0157	0.5	image	male	n09624168_2972	n/a
14.0157	0.5	image	female	n09619168_4662	n/a
15.0156	0.5	image	SiberianHusky	n02110185_4907	n/a
15.125	0.25	fixation_change	n/a	n/a	n/a
15.4821	0.0	response	n/a	n/a	0.3571
16.0155	0.5	image	airliner	n02690373_403	n/a
17.0155	0.5	image	SiberianHusky	n02110185_4990	n/a
18.0154	0.5	image	sportscar	n04285008_2730	n/a
19.0154	0.5	image	male	n09624168_2978	n/a
20.0154	0.5	image	jeep	n03594945_6061	n/a
21.0153	0.5	image	fighter	n03335030_3820	n/a
22.0152	0.5	image	sportscar	n04285008_2789	n/a
23.0152	0.5	image	female	n09619168_4541	n/a
23.125	0.25	fixation_change	n/a	n/a	n/a
23.5496	0.0	response	n/a	n/a	0.4246
24.0151	0.5	image	airliner	n02690373_201	n/a
24.5	0.25	fixation_change	n/a	n/a	n/a
25.015	0.5	image	male	n09624168_2880	n/a
25.1186	0.0	response	n/a	n/a	0.6186
25.75	0.25	fixation_change	n/a	n/a	n/a
26.015	0.5	image	SiberianHusky	n02110185_4030	n/a
26.1509	0.0	response	n/a	n/a	0.4009
27.0149	0.5	image	airliner	n02690373_166	n/a
28.0149	0.5	image	SiberianHusky	n02110185_4186	n/a
29.0148	0.5	image	sportscar	n04285008_2829	n/a
29.25	0.25	fixation_change	n/a	n/a	n/a
29.7443	0.0	response	n/a	n/a	0.4943
30.0148	0.5	scramble	SiberianHusky	n02110185_3986	n/a
31.0147	0.5	scramble	female	n09619168_4984	n/a
32.0147	0.5	scramble	male	n09624168_304	n/a
33.0146	0.5	scramble	female	n09619168_4832	n/a
33.5	0.25	fixation_change	n/a	n/a	n/a
34.0146	0.5	scramble	sportscar	n04285008_27	n/a
34.1011	0.0	response	n/a	n/a	0.6011
35.0145	0.5	scramble	SiberianHusky	n02110185_4186	n/a
36.0145	0.5	scramble	airliner	n02690373_190	n/a
37.0144	0.5	scramble	fighter	n03335030_3742	n/a
38.0143	0.5	scramble	female	n09619168_5109	n/a
38.125	0.25	fixation_change	n/a	n/a	n/a
38.5119	0.0	response	n/a	n/a	0.3869
39.0142	0.5	scramble	jeep	n03594945_5487	n/a
40.0143	0.5	scramble	jeep	n03594945_5573	n/a
41.0142	0.5	scramble	fighter	n03335030_3334	n/a
42.0141	0.5	scramble	female	n09619168_4988	n/a
43.014	0.5	scramble	sportscar	n04285008_2851	n/a
44.014	0.5	scramble	jeep	n03594945_6114	n/a
44.5	0.25	fixation_change	n/a	n/a	n/a
44.9999	0.0	response	n/a	n/a	0.4999
45.0139	0.5	scramble	toy_poodle	n02113624_437	n/a
46.0139	0.5	scramble	airliner	n02690373_283	n/a
47.0138	0.5	scramble	airliner	n02690373_357	n/a
48.0137	0.5	scramble	fighter	n03335030_3251	n/a
48.125	0.25	fixation_change	n/a	n/a	n/a
48.4363	0.0	response	n/a	n/a	0.3113
49.0137	0.5	scramble	fighter	n03335030_3823	n/a
50.0136	0.5	image	jeep	n03594945_6543	n/a
51.0	0.25	fixation_change	n/a	n/a	n/a
51.0136	0.5	image	SiberianHusky	n02110185_3969	n/a
51.4411	0.0	response	n/a	n/a	0.4411
52.0135	0.5	image	SiberianHusky	n02110185_4989	n/a
53.0135	0.5	image	jeep	n03594945_571	n/a
53.25	0.25	fixation_change	n/a	n/a	n/a
53.703	0.0	response	n/a	n/a	0.453
54.0134	0.5	image	fighter	n03335030_3961	n/a
55.0134	0.5	image	sportscar	n04285008_2907	n/a
56.0133	0.5	image	female	n09619168_5017	n/a
57.0133	0.5	image	sportscar	n04285008_2972	n/a
58.0132	0.5	image	fighter	n03335030_3454	n/a
58.5	0.25	fixation_change	n/a	n/a	n/a
59.0131	0.5	image	airliner	n02690373_274	n/a
59.0647	0.0	response	n/a	n/a	0.5647
60.0131	0.5	image	sportscar	n04285008_2727	n/a
61.0132	0.5	image	female	n09619168_4856	n/a
61.75	0.25	fixation_change	n/a	n/a	n/a
62.013	0.5	image	toy_poodle	n02113624_528	n/a
62.1455	0.0	response	n/a	n/a	0.3955
63.013	0.5	image	sportscar	n04285008_2653	n/a
64.0129	0.5	image	toy_poodle	n02113624_35	n/a
65.0128	0.5	image	fighter	n03335030_3935	n/a
66.0128	0.5	image	jeep	n03594945_5388	n/a
67.0127	0.5	image	male	n09624168_3031	n/a
67.875	0.25	fixation_change	n/a	n/a	n/a
68.0126	0.5	image	female	n09619168_4984	n/a
68.3362	0.0	response	n/a	n/a	0.4612
69.0126	0.5	image	female	n09619168_4832	n/a
70.0125	0.5	scramble	male	n09624168_2880	n/a
71.0125	0.5	scramble	fighter	n03335030_3431	n/a
72.0125	0.5	scramble	airliner	n02690373_296	n/a
73.0124	0.5	scramble	female	n09619168_434	n/a
74.0124	0.5	scramble	jeep	n03594945_6862	n/a
74.875	0.25	fixation_change	n/a	n/a	n/a
75.0123	0.5	scramble	SiberianHusky	n02110185_4030	n/a
75.9498	0.0	response	n/a	n/a	1.0748
76.0122	0.5	scramble	airliner	n02690373_403	n/a
77.0122	0.5	scramble	male	n09624168_2972	n/a
78.0121	0.5	scramble	jeep	n03594945_5346	n/a
79.012	0.5	scramble	SiberianHusky	n02110185_4608	n/a
80.012	0.5	scramble	airliner	n02690373_379	n/a
81.012	0.5	scramble	airliner	n02690373_274	n/a
81.625	0.25	fixation_change	n/a	n/a	n/a
81.9934	0.0	response	n/a	n/a	0.3684
82.0119	0.5	scramble	female	n09619168_4689	n/a
83.0118	0.5	scramble	toy_poodle	n02113624_462	n/a
84.0118	0.5	scramble	airliner	n02690373_201	n/a
85.0117	0.5	scramble	female	n09619168_5082	n/a
86.0116	0.5	scramble	toy_poodle	n02113624_554	n/a
87.0116	0.5	scramble	jeep	n03594945_559	n/a
88.0	0.25	fixation_change	n/a	n/a	n/a
88.0116	0.5	scramble	toy_poodle	n02113624_54	n/a
88.4521	0.0	response	n/a	n/a	0.4521
89.0115	0.5	scramble	toy_poodle	n02113624_528	n/a
90.0114	0.5	image	fighter	n03335030_3334	n/a
91.0	0.25	fixation_change	n/a	n/a	n/a
91.0114	0.5	image	SiberianHusky	n02110185_4441	n/a
91.4889	0.0	response	n/a	n/a	0.4889
92.0113	0.5	image	toy_poodle	n02113624_429	n/a
93.0113	0.5	image	jeep	n03594945_5588	n/a
93.75	0.25	fixation_change	n/a	n/a	n/a
94.0112	0.5	image	jeep	n03594945_6114	n/a
94.1197	0.0	response	n/a	n/a	0.3697
95.0112	0.5	image	fighter	n03335030_3989	n/a
96.0111	0.5	image	toy_poodle	n02113624_559	n/a
97.0111	0.5	image	sportscar	n04285008_2817	n/a
98.0	0.25	fixation_change	n/a	n/a	n/a
98.011	0.5	image	toy_poodle	n02113624_530	n/a
98.5775	0.0	response	n/a	n/a	0.5775
99.0109	0.5	image	female	n09619168_5082	n/a
100.0109	0.5	image	toy_poodle	n02113624_368	n/a
