onset	duration	trial_type	image_category	imnet_filename	reaction_time
4.0	0.25	fixation_change	n/a	n/a	n/a
4.4017	0.0	response	n/a	n/a	0.4017
12.0004	0.5	image	airliner	n02690373_102	n/a
12.25	0.25	fixation_change	n/a	n/a	n/a
12.5663	0.0	response	n/a	n/a	0.3163
18.625	0.25	fixation_change	n/a	n/a	n/a
18.9729	0.0	response	n/a	n/a	0.3479
20.5	0.25	fixation_change	n/a	n/a	n/a
21.0618	0.0	response	n/a	n/a	0.5618
22.2666	0.5	image	male	n09624168_1003	n/a
26.875	0.25	fixation_change	n/a	n/a	n/a
27.2734	0.0	response	n/a	n/a	0.3984
29.625	0.25	fixation_change	n/a	n/a	n/a
30.0354	0.0	response	n/a	n/a	0.4104
31.375	0.25	fixation_change	n/a	n/a	n/a
31.7432	0.0	response	n/a	n/a	0.3682
33.3826	0.5	image	jeep	n03594945_4342	n/a
35.25	0.25	fixation_change	n/a	n/a	n/a
35.59	0.0	response	n/a	n/a	0.34
36.625	0.25	fixation_change	n/a	n/a	n/a
37.0919	0.0	response	n/a	n/a	0.4669
38.75	0.25	fixation_change	n/a	n/a	n/a
39.1658	0.0	response	n/a	n/a	0.4158
43.375	0.25	fixation_change	n/a	n/a	n/a
43.7265	0.0	response	n/a	n/a	0.3515
47.1319	0.5	image	fighter	n03335030_205	n/a
52.25	0.25	fixation_change	n/a	n/a	n/a
52.6101	0.0	response	n/a	n/a	0.3601
56.0147	0.5	image	SiberianHusky	n02110185_137	n/a
60.0	0.25	fixation_change	n/a	n/a	n/a
60.3338	0.0	response	n/a	n/a	0.3338
61.125	0.25	fixation_change	n/a	n/a	n/a
61.4736	0.0	response	n/a	n/a	0.3486
69.125	0.25	fixation_change	n/a	n/a	n/a
69.4532	0.0	response	n/a	n/a	0.3282
69.6306	0.5	image	airliner	n02690373_1351	n/a
72.375	0.25	fixation_change	n/a	n/a	n/a
72.7779	0.0	response	n/a	n/a	0.4029
74.875	0.25	fixation_change	n/a	n/a	n/a
75.262	0.0	response	n/a	n/a	0.387
78.375	0.25	fixation_change	n/a	n/a	n/a
78.6556	0.0	response	n/a	n/a	0.2806
81.8799	0.5	image	female	n09619168_2983	n/a
83.625	0.25	fixation_change	n/a	n/a	n/a
83.9453	0.0	response	n/a	n/a	0.3203
88.5	0.25	fixation_change	n/a	n/a	n/a
88.8511	0.0	response	n/a	n/a	0.3511
93.3794	0.5	image	sportscar	n04285008_1619	n/a
94.5	0.25	fixation_change	n/a	n/a	n/a
94.8437	0.0	response	n/a	n/a	0.3437
96.875	0.25	fixation_change	n/a	n/a	n/a
97.2896	0.0	response	n/a	n/a	0.4146
100.875	0.25	fixation_change	n/a	n/a	n/a
101.8664	0.0	response	n/a	n/a	0.9914
104.3787	0.5	image	male	n09624168_2249	n/a
106.5	0.25	fixation_change	n/a	n/a	n/a
106.8477	0.0	response	n/a	n/a	0.3477
114.0	0.25	fixation_change	n/a	n/a	n/a
114.3526	0.0	response	n/a	n/a	0.3526
115.878	0.5	image	toy_poodle	n02113624_246	n/a
118.0	0.25	fixation_change	n/a	n/a	n/a
118.6544	0.0	response	n/a	n/a	0.6544
125.625	0.25	fixation_change	n/a	n/a	n/a
125.6275	0.5	image	toy_poodle	n02113624_349	n/a
126.298	0.0	response	n/a	n/a	0.673
130.0	0.25	fixation_change	n/a	n/a	n/a
130.8147	0.0	response	n/a	n/a	0.8147
135.0103	0.5	image	female	n09619168_258	n/a
138.5	0.25	fixation_change	n/a	n/a	n/a
138.8734	0.0	response	n/a	n/a	0.3734
141.875	0.25	fixation_change	n/a	n/a	n/a
142.2141	0.0	response	n/a	n/a	0.3391
145.875	0.25	fixation_change	n/a	n/a	n/a
146.1919	0.0	response	n/a	n/a	0.3169
146.8763	0.5	image	fighter	n03335030_1775	n/a
152.125	0.25	fixation_change	n/a	n/a	n/a
152.4386	0.0	response	n/a	n/a	0.3136
157.75	0.25	fixation_change	n/a	n/a	n/a
158.1052	0.0	response	n/a	n/a	0.3552
160.8756	0.5	image	jeep	n03594945_5007	n/a
161.625	0.25	fixation_change	n/a	n/a	n/a
162.095	0.0	response	n/a	n/a	0.47
166.5	0.25	fixation_change	n/a	n/a	n/a
167.0029	0.0	response	n/a	n/a	0.5029
172.3915	0.5	image	female	n09619168_1617	n/a
172.75	0.25	fixation_change	n/a	n/a	n/a
173.1215	0.0	response	n/a	n/a	0.3715
174.25	0.25	fixation_change	n/a	n/a	n/a
174.6441	0.0	response	n/a	n/a	0.3941
180.125	0.25	fixation_change	n/a	n/a	n/a
180.528	0.0	response	n/a	n/a	0.403
184.6409	0.5	image	sportscar	n04285008_2314	n/a
187.0	0.25	fixation_change	n/a	n/a	n/a
187.4466	0.0	response	n/a	n/a	0.4466
194.375	0.25	fixation_change	n/a	n/a	n/a
194.8172	0.0	response	n/a	n/a	0.4422
196.0069	0.5	image	jeep	n03594945_2372	n/a
197.125	0.25	fixation_change	n/a	n/a	n/a
197.5321	0.0	response	n/a	n/a	0.4071
203.25	0.25	fixation_change	n/a	n/a	n/a
203.6247	0.0	response	n/a	n/a	0.3747
205.7564	0.5	image	female	n09619168_3030	n/a
210.125	0.25	fixation_change	n/a	n/a	n/a
210.5035	0.0	response	n/a	n/a	0.3785
211.875	0.25	fixation_change	n/a	n/a	n/a
212.3872	0.0	response	n/a	n/a	0.5122
213.375	0.25	fixation_change	n/a	n/a	n/a
213.8091	0.0	response	n/a	n/a	0.4341
217.5057	0.5	image	airliner	n02690373_1396	n/a
221.5	0.25	fixation_change	n/a	n/a	n/a
221.8846	0.0	response	n/a	n/a	0.3846
225.375	0.25	fixation_change	n/a	n/a	n/a
225.7145	0.0	response	n/a	n/a	0.3395
231.1383	0.5	image	sportscar	n04285008_1140	n/a
232.0	0.25	fixation_change	n/a	n/a	n/a
232.3783	0.0	response	n/a	n/a	0.3783
237.5	0.25	fixation_change	n/a	n/a	n/a
237.9404	0.0	response	n/a	n/a	0.4404
241.25	0.25	fixation_change	n/a	n/a	n/a
241.7069	0.0	response	n/a	n/a	0.4569
243.6376	0.5	image	male	n09624168_1048	n/a
245.0	0.25	fixation_change	n/a	n/a	n/a
245.3534	0.0	response	n/a	n/a	0.3534
252.6372	0.5	image	SiberianHusky	n02110185_1430	n/a
253.25	0.25	fixation_change	n/a	n/a	n/a
253.6261	0.0	response	n/a	n/a	0.3761
257.875	0.25	fixation_change	n/a	n/a	n/a
258.2876	0.0	response	n/a	n/a	0.4126
262.75	0.25	fixation_change	n/a	n/a	n/a
263.1557	0.0	response	n/a	n/a	0.4057
263.2532	0.5	image	SiberianHusky	n02110185_228	n/a
271.5	0.25	fixation_change	n/a	n/a	n/a
271.8139	0.0	response	n/a	n/a	0.3139
275.3858	0.5	image	fighter	n03335030_261	n/a
275.875	0.25	fixation_change	n/a	n/a	n/a
276.3677	0.0	response	n/a	n/a	0.4927
279.75	0.25	fixation_change	n/a	n/a	n/a
280.3144	0.0	response	n/a	n/a	0.5644
281.375	0.25	fixation_change	n/a	n/a	n/a
281.8735	0.0	response	n/a	n/a	0.4985
285.5	0.25	fixation_change	n/a	n/a	n/a
285.9121	0.0	response	n/a	n/a	0.4121
287.1352	0.5	image	sportscar	n04285008_1667	n/a
288.0	0.25	fixation_change	n/a	n/a	n/a
288.406	0.0	response	n/a	n/a	0.406
290.0	0.25	fixation_change	n/a	n/a	n/a
290.3569	0.0	response	n/a	n/a	0.3569
293.875	0.25	fixation_change	n/a	n/a	n/a
294.2217	0.0	response	n/a	n/a	0.3467
296.25	0.25	fixation_change	n/a	n/a	n/a
296.3847	0.5	image	toy_poodle	n02113624_1094	n/a
296.6425	0.0	response	n/a	n/a	0.3925
299.625	0.25	fixation_change	n/a	n/a	n/a
299.9872	0.0	response	n/a	n/a	0.3622
306.125	0.25	fixation_change	n/a	n/a	n/a
306.465	0.0	response	n/a	n/a	0.34
309.7506	0.5	image	male	n09624168_1576	n/a
313.875	0.25	fixation_change	n/a	n/a	n/a
313.9586	0.0	response	n/a	n/a	0.0836
317.25	0.25	fixation_change	n/a	n/a	n/a
317.8575	0.0	response	n/a	n/a	0.6075
320.3833	0.5	image	jeep	n03594945_3878	n/a
321.125	0.25	fixation_change	n/a	n/a	n/a
321.5601	0.0	response	n/a	n/a	0.4351
328.0	0.25	fixation_change	n/a	n/a	n/a
328.4007	0.0	response	n/a	n/a	0.4007
333.016	0.5	image	fighter	n03335030_2587	n/a
335.25	0.25	fixation_change	n/a	n/a	n/a
335.7685	0.0	response	n/a	n/a	0.5185
337.625	0.25	fixation_change	n/a	n/a	n/a
338.0202	0.0	response	n/a	n/a	0.3952
341.875	0.25	fixation_change	n/a	n/a	n/a
342.202	0.0	response	n/a	n/a	0.327
342.875	0.25	fixation_change	n/a	n/a	n/a
343.5599	0.0	response	n/a	n/a	0.6849
346.0153	0.5	image	SiberianHusky	n02110185_209	n/a
347.125	0.25	fixation_change	n/a	n/a	n/a
347.5247	0.0	response	n/a	n/a	0.3997
355.25	0.25	fixation_change	n/a	n/a	n/a
355.6423	0.0	response	n/a	n/a	0.3923
356.0147	0.5	image	airliner	n02690373_1131	n/a
356.625	0.25	fixation_change	n/a	n/a	n/a
357.1223	0.0	response	n/a	n/a	0.4973
360.75	0.25	fixation_change	n/a	n/a	n/a
361.305	0.0	response	n/a	n/a	0.555
363.875	0.25	fixation_change	n/a	n/a	n/a
364.2218	0.0	response	n/a	n/a	0.3468
365.25	0.25	fixation_change	n/a	n/a	n/a
366.1598	0.0	response	n/a	n/a	0.9098
368.3808	0.5	image	toy_poodle	n02113624_1091	n/a
369.375	0.25	fixation_change	n/a	n/a	n/a
369.8735	0.0	response	n/a	n/a	0.4985
372.25	0.25	fixation_change	n/a	n/a	n/a
373.1753	0.0	response	n/a	n/a	0.9253
