onset	duration	trial_type	image_category	imnet_filename	reaction_time
1.8089	0.0	response	n/a	n/a	n/a
7.875	0.25	fixation_change	n/a	n/a	n/a
12.0094	0.5	image	SiberianHusky	n02110185_1916	n/a
14.5	0.25	fixation_change	n/a	n/a	n/a
14.9341	0.0	response	n/a	n/a	0.4341
20.5	0.25	fixation_change	n/a	n/a	n/a
20.8951	0.0	response	n/a	n/a	0.3951
25.25	0.25	fixation_change	n/a	n/a	n/a
25.5555	0.0	response	n/a	n/a	0.3055
25.6253	0.5	image	male	n09624168_2844	n/a
32.75	0.25	fixation_change	n/a	n/a	n/a
33.1242	0.0	response	n/a	n/a	0.3742
35.875	0.25	fixation_change	n/a	n/a	n/a
36.376	0.0	response	n/a	n/a	0.501
37.6414	0.5	image	SiberianHusky	n02110185_2672	n/a
38.1809	0.0	response	n/a	n/a	2.3059
39.0	0.25	fixation_change	n/a	n/a	n/a
39.3749	0.0	response	n/a	n/a	0.3749
41.0	0.25	fixation_change	n/a	n/a	n/a
41.3617	0.0	response	n/a	n/a	0.3617
46.25	0.25	fixation_change	n/a	n/a	n/a
46.6245	0.0	response	n/a	n/a	0.3745
46.8909	0.5	image	toy_poodle	n02113624_249	n/a
49.25	0.25	fixation_change	n/a	n/a	n/a
49.6702	0.0	response	n/a	n/a	0.4202
55.75	0.25	fixation_change	n/a	n/a	n/a
56.0969	0.0	response	n/a	n/a	0.3469
57.1403	0.5	image	jeep	n03594945_2785	n/a
59.375	0.25	fixation_change	n/a	n/a	n/a
59.8336	0.0	response	n/a	n/a	0.4586
65.5	0.25	fixation_change	n/a	n/a	n/a
65.9743	0.0	response	n/a	n/a	0.4743
67.5064	0.5	image	fighter	n03335030_287	n/a
71.875	0.25	fixation_change	n/a	n/a	n/a
72.3679	0.0	response	n/a	n/a	0.4929
76.875	0.25	fixation_change	n/a	n/a	n/a
77.4287	0.0	response	n/a	n/a	0.5537
77.5058	0.5	image	female	n09619168_1072	n/a
83.5	0.25	fixation_change	n/a	n/a	n/a
84.0333	0.0	response	n/a	n/a	0.5333
86.5	0.25	fixation_change	n/a	n/a	n/a
87.0301	0.0	response	n/a	n/a	0.5301
89.75	0.25	fixation_change	n/a	n/a	n/a
90.1384	0.5	image	airliner	n02690373_1354	n/a
90.3629	0.0	response	n/a	n/a	0.6129
98.625	0.25	fixation_change	n/a	n/a	n/a
99.0475	0.0	response	n/a	n/a	0.4225
101.375	0.25	fixation_change	n/a	n/a	n/a
101.8363	0.0	response	n/a	n/a	0.4613
103.5044	0.5	image	female	n09619168_3773	n/a
103.875	0.25	fixation_change	n/a	n/a	n/a
104.3738	0.0	response	n/a	n/a	0.4988
111.875	0.25	fixation_change	n/a	n/a	n/a
112.4927	0.0	response	n/a	n/a	0.6177
113.5	0.25	fixation_change	n/a	n/a	n/a
114.0596	0.0	response	n/a	n/a	0.5596
116.7536	0.5	image	toy_poodle	n02113624_302	n/a
117.5564	0.0	response	n/a	n/a	4.0564
119.75	0.25	fixation_change	n/a	n/a	n/a
120.1727	0.0	response	n/a	n/a	0.4227
128.25	0.25	fixation_change	n/a	n/a	n/a
128.3863	0.5	image	female	n09619168_1220	n/a
128.6392	0.0	response	n/a	n/a	0.3892
129.5	0.25	fixation_change	n/a	n/a	n/a
130.2387	0.0	response	n/a	n/a	0.7387
136.625	0.25	fixation_change	n/a	n/a	n/a
136.9674	0.0	response	n/a	n/a	0.3424
139.75	0.25	fixation_change	n/a	n/a	n/a
140.1622	0.0	response	n/a	n/a	0.4122
141.0023	0.5	image	male	n09624168_1054	n/a
146.5	0.25	fixation_change	n/a	n/a	n/a
146.8998	0.0	response	n/a	n/a	0.3998
152.885	0.5	image	SiberianHusky	n02110185_2033	n/a
153.2345	0.0	response	n/a	n/a	6.7345
155.0	0.25	fixation_change	n/a	n/a	n/a
155.3513	0.0	response	n/a	n/a	0.3513
157.25	0.25	fixation_change	n/a	n/a	n/a
157.6324	0.0	response	n/a	n/a	0.3824
163.5	0.25	fixation_change	n/a	n/a	n/a
163.7969	0.0	response	n/a	n/a	0.2969
164.001	0.5	image	sportscar	n04285008_2280	n/a
171.0	0.25	fixation_change	n/a	n/a	n/a
171.4304	0.0	response	n/a	n/a	0.4304
172.7505	0.5	image	toy_poodle	n02113624_231	n/a
177.25	0.25	fixation_change	n/a	n/a	n/a
177.8051	0.0	response	n/a	n/a	0.5551
