onset	duration	trial_type	image_category	imnet_filename	reaction_time
4.25	0.25	fixation_change	n/a	n/a	n/a
4.7314	0.0	response	n/a	n/a	0.4814
11.875	0.25	fixation_change	n/a	n/a	n/a
12.0122	0.5	image	jeep	n03594945_3453	n/a
12.0951	0.0	response	n/a	n/a	0.2201
20.75	0.25	fixation_change	n/a	n/a	n/a
21.1979	0.0	response	n/a	n/a	0.4479
24.5119	0.5	image	toy_poodle	n02113624_174	n/a
26.25	0.25	fixation_change	n/a	n/a	n/a
26.6009	0.0	response	n/a	n/a	0.3509
32.625	0.25	fixation_change	n/a	n/a	n/a
36.1284	0.5	image	airliner	n02690373_120	n/a
38.0	0.25	fixation_change	n/a	n/a	n/a
38.3527	0.0	response	n/a	n/a	0.3527
45.0	0.25	fixation_change	n/a	n/a	n/a
45.2945	0.0	response	n/a	n/a	0.2945
45.5116	0.5	image	fighter	n03335030_3061	n/a
51.125	0.25	fixation_change	n/a	n/a	n/a
53.375	0.25	fixation_change	n/a	n/a	n/a
53.8354	0.0	response	n/a	n/a	0.4604
56.6282	0.5	image	airliner	n02690373_101	n/a
61.0	0.25	fixation_change	n/a	n/a	n/a
61.3363	0.0	response	n/a	n/a	0.3363
63.125	0.25	fixation_change	n/a	n/a	n/a
63.4304	0.0	response	n/a	n/a	0.3054
68.0112	0.5	image	airliner	n02690373_1416	n/a
68.2573	0.0	response	n/a	n/a	5.1323
69.625	0.25	fixation_change	n/a	n/a	n/a
78.125	0.25	fixation_change	n/a	n/a	n/a
78.486	0.0	response	n/a	n/a	0.361
80.511	0.5	image	male	n09624168_1329	n/a
82.75	0.25	fixation_change	n/a	n/a	n/a
83.0468	0.0	response	n/a	n/a	0.2968
84.625	0.25	fixation_change	n/a	n/a	n/a
84.9529	0.0	response	n/a	n/a	0.3279
86.125	0.25	fixation_change	n/a	n/a	n/a
86.3978	0.0	response	n/a	n/a	0.2728
92.0108	0.5	image	jeep	n03594945_3425	n/a
93.375	0.25	fixation_change	n/a	n/a	n/a
93.6737	0.0	response	n/a	n/a	0.2987
94.375	0.25	fixation_change	n/a	n/a	n/a
94.7147	0.0	response	n/a	n/a	0.3397
100.25	0.25	fixation_change	n/a	n/a	n/a
100.5365	0.0	response	n/a	n/a	0.2865
101.8774	0.5	image	SiberianHusky	n02110185_2076	n/a
104.125	0.25	fixation_change	n/a	n/a	n/a
104.4426	0.0	response	n/a	n/a	0.3176
108.25	0.25	fixation_change	n/a	n/a	n/a
108.5335	0.0	response	n/a	n/a	0.2835
109.7044	0.0	response	n/a	n/a	1.4544
112.375	0.25	fixation_change	n/a	n/a	n/a
112.8771	0.5	image	sportscar	n04285008_1667	n/a
116.75	0.25	fixation_change	n/a	n/a	n/a
117.1703	0.0	response	n/a	n/a	0.4203
122.0103	0.5	image	jeep	n03594945_211	n/a
124.375	0.25	fixation_change	n/a	n/a	n/a
124.746	0.0	response	n/a	n/a	0.371
131.125	0.25	fixation_change	n/a	n/a	n/a
131.453	0.0	response	n/a	n/a	0.328
135.0101	0.5	image	SiberianHusky	n02110185_293	n/a
139.375	0.25	fixation_change	n/a	n/a	n/a
139.7369	0.0	response	n/a	n/a	0.3619
145.0099	0.5	image	toy_poodle	n02113624_1094	n/a
146.625	0.25	fixation_change	n/a	n/a	n/a
146.9123	0.0	response	n/a	n/a	0.2873
