onset	duration	trial_type	image_category	imnet_filename	reaction_time
3.375	0.25	fixation_change	n/a	n/a	n/a
3.7002	0.0	response	n/a	n/a	0.3252
8.625	0.25	fixation_change	n/a	n/a	n/a
8.882	0.0	response	n/a	n/a	0.257
11.125	0.25	fixation_change	n/a	n/a	n/a
11.4807	0.0	response	n/a	n/a	0.3557
12.0114	0.5	image	jeep	n03594945_305	n/a
16.375	0.25	fixation_change	n/a	n/a	n/a
16.7568	0.0	response	n/a	n/a	0.3818
19.0	0.25	fixation_change	n/a	n/a	n/a
19.3286	0.0	response	n/a	n/a	0.3286
23.5075	0.5	image	female	n09619168_2451	n/a
25.5	0.25	fixation_change	n/a	n/a	n/a
25.7825	0.0	response	n/a	n/a	0.2825
29.625	0.25	fixation_change	n/a	n/a	n/a
29.9424	0.0	response	n/a	n/a	0.3174
32.375	0.25	fixation_change	n/a	n/a	n/a
32.6264	0.0	response	n/a	n/a	0.2514
36.5363	0.0	response	n/a	n/a	4.1613
36.8862	0.5	image	sportscar	n04285008_1619	n/a
38.0	0.25	fixation_change	n/a	n/a	n/a
38.3153	0.0	response	n/a	n/a	0.3153
40.0343	0.0	response	n/a	n/a	2.0343
40.125	0.25	fixation_change	n/a	n/a	n/a
40.9705	0.0	response	n/a	n/a	0.8455
43.375	0.25	fixation_change	n/a	n/a	n/a
43.7196	0.0	response	n/a	n/a	0.3446
45.0	0.25	fixation_change	n/a	n/a	n/a
45.4492	0.0	response	n/a	n/a	0.4492
46.8827	0.5	image	male	n09624168_2715	n/a
49.125	0.25	fixation_change	n/a	n/a	n/a
49.4931	0.0	response	n/a	n/a	0.3681
56.5127	0.5	image	airliner	n02690373_1279	n/a
57.0	0.25	fixation_change	n/a	n/a	n/a
57.3649	0.0	response	n/a	n/a	0.3649
63.0	0.25	fixation_change	n/a	n/a	n/a
63.363	0.0	response	n/a	n/a	0.363
65.1264	0.5	image	toy_poodle	n02113624_1094	n/a
66.875	0.25	fixation_change	n/a	n/a	n/a
67.1738	0.0	response	n/a	n/a	0.2988
73.0	0.25	fixation_change	n/a	n/a	n/a
73.3327	0.0	response	n/a	n/a	0.3327
78.0053	0.5	image	airliner	n02690373_1134	n/a
79.0	0.25	fixation_change	n/a	n/a	n/a
79.3086	0.0	response	n/a	n/a	0.3086
82.625	0.25	fixation_change	n/a	n/a	n/a
85.0	0.25	fixation_change	n/a	n/a	n/a
85.4355	0.0	response	n/a	n/a	0.4355
89.1348	0.5	image	fighter	n03335030_2424	n/a
93.625	0.25	fixation_change	n/a	n/a	n/a
94.0403	0.0	response	n/a	n/a	0.4153
98.625	0.25	fixation_change	n/a	n/a	n/a
99.1053	0.0	response	n/a	n/a	0.4803
101.7638	0.5	image	toy_poodle	n02113624_23	n/a
107.25	0.25	fixation_change	n/a	n/a	n/a
107.6252	0.0	response	n/a	n/a	0.3752
112.0	0.25	fixation_change	n/a	n/a	n/a
112.65	0.0	response	n/a	n/a	0.65
114.1261	0.5	image	SiberianHusky	n02110185_2436	n/a
120.5	0.25	fixation_change	n/a	n/a	n/a
120.8948	0.0	response	n/a	n/a	0.3948
125.7554	0.5	image	fighter	n03335030_1080	n/a
127.875	0.25	fixation_change	n/a	n/a	n/a
128.1587	0.0	response	n/a	n/a	0.2837
132.75	0.25	fixation_change	n/a	n/a	n/a
133.1426	0.0	response	n/a	n/a	0.3926
133.875	0.25	fixation_change	n/a	n/a	n/a
134.3237	0.0	response	n/a	n/a	0.4487
135.2521	0.5	image	toy_poodle	n02113624_191	n/a
136.875	0.25	fixation_change	n/a	n/a	n/a
137.2236	0.0	response	n/a	n/a	0.3486
141.375	0.25	fixation_change	n/a	n/a	n/a
141.7185	0.0	response	n/a	n/a	0.3435
147.8811	0.5	image	female	n09619168_1786	n/a
149.375	0.25	fixation_change	n/a	n/a	n/a
149.7764	0.0	response	n/a	n/a	0.4014
157.75	0.25	fixation_change	n/a	n/a	n/a
158.0292	0.0	response	n/a	n/a	0.2792
160.1269	0.5	image	sportscar	n04285008_1140	n/a
