onset	duration	trial_type	image_category	imnet_filename	reaction_time
8.875	0.25	fixation_change	n/a	n/a	n/a
9.3338	0.0	response	n/a	n/a	0.4588
9.5856	0.0	response	n/a	n/a	0.7106
12.0146	0.5	image	jeep	n03594945_3044	n/a
13.875	0.25	fixation_change	n/a	n/a	n/a
14.2374	0.0	response	n/a	n/a	0.3624
18.25	0.25	fixation_change	n/a	n/a	n/a
18.7812	0.0	response	n/a	n/a	0.5312
24.3808	0.5	image	airliner	n02690373_1341	n/a
24.875	0.25	fixation_change	n/a	n/a	n/a
25.2141	0.0	response	n/a	n/a	0.3391
27.625	0.25	fixation_change	n/a	n/a	n/a
28.0369	0.0	response	n/a	n/a	0.4119
29.125	0.25	fixation_change	n/a	n/a	n/a
29.6	0.0	response	n/a	n/a	0.475
33.875	0.25	fixation_change	n/a	n/a	n/a
34.1627	0.0	response	n/a	n/a	0.2877
38.0	0.25	fixation_change	n/a	n/a	n/a
38.3803	0.5	image	fighter	n03335030_2794	n/a
38.5328	0.0	response	n/a	n/a	0.5328
40.875	0.25	fixation_change	n/a	n/a	n/a
41.3605	0.0	response	n/a	n/a	0.4855
48.0	0.25	fixation_change	n/a	n/a	n/a
48.4912	0.0	response	n/a	n/a	0.4912
51.1298	0.5	image	female	n09619168_3030	n/a
56.625	0.25	fixation_change	n/a	n/a	n/a
57.0178	0.0	response	n/a	n/a	0.3928
58.375	0.25	fixation_change	n/a	n/a	n/a
58.7697	0.0	response	n/a	n/a	0.3947
63.7627	0.5	image	jeep	n03594945_3425	n/a
65.625	0.25	fixation_change	n/a	n/a	n/a
66.0215	0.0	response	n/a	n/a	0.3965
68.125	0.25	fixation_change	n/a	n/a	n/a
68.4755	0.0	response	n/a	n/a	0.3505
69.25	0.25	fixation_change	n/a	n/a	n/a
69.6318	0.0	response	n/a	n/a	0.3818
73.5	0.25	fixation_change	n/a	n/a	n/a
74.0113	0.0	response	n/a	n/a	0.5113
75.1289	0.5	image	male	n09624168_2249	n/a
75.625	0.25	fixation_change	n/a	n/a	n/a
76.1647	0.0	response	n/a	n/a	0.5397
80.875	0.25	fixation_change	n/a	n/a	n/a
81.2511	0.0	response	n/a	n/a	0.3761
84.3786	0.5	image	female	n09619168_1316	n/a
86.375	0.25	fixation_change	n/a	n/a	n/a
86.7311	0.0	response	n/a	n/a	0.3561
92.875	0.25	fixation_change	n/a	n/a	n/a
93.2607	0.0	response	n/a	n/a	0.3857
95.2616	0.5	image	male	n09624168_1329	n/a
101.0	0.25	fixation_change	n/a	n/a	n/a
101.5952	0.0	response	n/a	n/a	0.5952
102.125	0.25	fixation_change	n/a	n/a	n/a
102.4306	0.0	response	n/a	n/a	0.3056
106.8778	0.5	image	SiberianHusky	n02110185_2033	n/a
108.625	0.25	fixation_change	n/a	n/a	n/a
108.969	0.0	response	n/a	n/a	0.344
117.5	0.25	fixation_change	n/a	n/a	n/a
117.8774	0.5	image	toy_poodle	n02113624_336	n/a
118.0246	0.0	response	n/a	n/a	0.5246
126.375	0.25	fixation_change	n/a	n/a	n/a
126.9594	0.0	response	n/a	n/a	0.5844
128.0103	0.5	image	sportscar	n04285008_1727	n/a
131.0	0.25	fixation_change	n/a	n/a	n/a
131.3941	0.0	response	n/a	n/a	0.3941
134.75	0.25	fixation_change	n/a	n/a	n/a
135.163	0.0	response	n/a	n/a	0.413
137.6266	0.5	image	fighter	n03335030_287	n/a
143.625	0.25	fixation_change	n/a	n/a	n/a
144.0088	0.0	response	n/a	n/a	0.3838
147.1263	0.5	image	SiberianHusky	n02110185_1614	n/a
148.5	0.25	fixation_change	n/a	n/a	n/a
148.9135	0.0	response	n/a	n/a	0.4135
152.125	0.25	fixation_change	n/a	n/a	n/a
152.4935	0.0	response	n/a	n/a	0.3685
156.125	0.25	fixation_change	n/a	n/a	n/a
156.5024	0.0	response	n/a	n/a	0.3774
157.25	0.25	fixation_change	n/a	n/a	n/a
157.6482	0.0	response	n/a	n/a	0.3982
160.5092	0.5	image	airliner	n02690373_120	n/a
162.25	0.25	fixation_change	n/a	n/a	n/a
162.688	0.0	response	n/a	n/a	0.438
164.375	0.25	fixation_change	n/a	n/a	n/a
