onset	duration	trial_type	image_category	imnet_filename	reaction_time
1.75	0.25	fixation_change	n/a	n/a	n/a
2.3558	0.0	response	n/a	n/a	0.6058
3.0	0.25	fixation_change	n/a	n/a	n/a
3.4295	0.0	response	n/a	n/a	0.4295
4.375	0.25	fixation_change	n/a	n/a	n/a
4.8327	0.0	response	n/a	n/a	0.4577
10.75	0.25	fixation_change	n/a	n/a	n/a
11.1461	0.0	response	n/a	n/a	0.3961
12.0099	0.5	image	toy_poodle	n02113624_125	n/a
18.375	0.25	fixation_change	n/a	n/a	n/a
18.721	0.0	response	n/a	n/a	0.346
22.0	0.25	fixation_change	n/a	n/a	n/a
22.376	0.5	image	fighter	n03335030_1075	n/a
22.5698	0.0	response	n/a	n/a	0.5698
26.625	0.25	fixation_change	n/a	n/a	n/a
27.2628	0.0	response	n/a	n/a	0.6378
28.5	0.25	fixation_change	n/a	n/a	n/a
29.0414	0.0	response	n/a	n/a	0.5414
30.75	0.25	fixation_change	n/a	n/a	n/a
31.2304	0.0	response	n/a	n/a	0.4804
36.6253	0.5	image	male	n09624168_1341	n/a
37.375	0.25	fixation_change	n/a	n/a	n/a
37.932	0.0	response	n/a	n/a	0.557
43.0	0.25	fixation_change	n/a	n/a	n/a
43.3778	0.0	response	n/a	n/a	0.3778
46.3914	0.5	image	sportscar	n04285008_2185	n/a
50.0	0.25	fixation_change	n/a	n/a	n/a
50.3424	0.0	response	n/a	n/a	0.3424
58.125	0.25	fixation_change	n/a	n/a	n/a
58.4879	0.0	response	n/a	n/a	0.3629
60.7574	0.5	image	toy_poodle	n02113624_231	n/a
63.5	0.25	fixation_change	n/a	n/a	n/a
63.9807	0.0	response	n/a	n/a	0.4807
71.8902	0.5	image	female	n09619168_3051	n/a
72.0	0.25	fixation_change	n/a	n/a	n/a
72.5023	0.0	response	n/a	n/a	0.5023
76.625	0.25	fixation_change	n/a	n/a	n/a
77.039	0.0	response	n/a	n/a	0.414
83.5062	0.5	image	male	n09624168_1025	n/a
84.625	0.25	fixation_change	n/a	n/a	n/a
85.1387	0.0	response	n/a	n/a	0.5137
88.5	0.25	fixation_change	n/a	n/a	n/a
88.9434	0.0	response	n/a	n/a	0.4434
91.375	0.25	fixation_change	n/a	n/a	n/a
91.7302	0.0	response	n/a	n/a	0.3552
93.125	0.25	fixation_change	n/a	n/a	n/a
93.5416	0.0	response	n/a	n/a	0.4166
96.7555	0.5	image	fighter	n03335030_1550	n/a
100.125	0.25	fixation_change	n/a	n/a	n/a
100.5838	0.0	response	n/a	n/a	0.4588
104.0	0.25	fixation_change	n/a	n/a	n/a
104.4345	0.0	response	n/a	n/a	0.4345
107.0	0.25	fixation_change	n/a	n/a	n/a
107.4704	0.0	response	n/a	n/a	0.4704
107.6384	0.5	image	jeep	n03594945_4342	n/a
114.625	0.25	fixation_change	n/a	n/a	n/a
115.0737	0.0	response	n/a	n/a	0.4487
118.125	0.25	fixation_change	n/a	n/a	n/a
118.5044	0.5	image	jeep	n03594945_10348	n/a
118.6948	0.0	response	n/a	n/a	0.5698
121.25	0.25	fixation_change	n/a	n/a	n/a
121.8107	0.0	response	n/a	n/a	0.5607
128.375	0.25	fixation_change	n/a	n/a	n/a
128.9463	0.0	response	n/a	n/a	0.5713
131.3871	0.5	image	airliner	n02690373_101	n/a
136.875	0.25	fixation_change	n/a	n/a	n/a
137.3231	0.0	response	n/a	n/a	0.4481
143.625	0.25	fixation_change	n/a	n/a	n/a
144.1336	0.0	response	n/a	n/a	0.5086
145.753	0.5	image	male	n09624168_1241	n/a
145.875	0.25	fixation_change	n/a	n/a	n/a
146.2114	0.0	response	n/a	n/a	0.3364
152.125	0.25	fixation_change	n/a	n/a	n/a
152.4641	0.0	response	n/a	n/a	0.3391
155.875	0.25	fixation_change	n/a	n/a	n/a
156.0024	0.5	image	toy_poodle	n02113624_336	n/a
156.26	0.0	response	n/a	n/a	0.385
159.25	0.25	fixation_change	n/a	n/a	n/a
159.8057	0.0	response	n/a	n/a	0.5557
165.625	0.25	fixation_change	n/a	n/a	n/a
166.0604	0.0	response	n/a	n/a	0.4354
167.0019	0.5	image	sportscar	n04285008_1701	n/a
170.0	0.25	fixation_change	n/a	n/a	n/a
170.4071	0.0	response	n/a	n/a	0.4071
178.125	0.25	fixation_change	n/a	n/a	n/a
178.6376	0.0	response	n/a	n/a	0.5126
179.1346	0.5	image	jeep	n03594945_3171	n/a
182.625	0.25	fixation_change	n/a	n/a	n/a
183.1297	0.0	response	n/a	n/a	0.5047
189.2508	0.5	image	female	n09619168_3638	n/a
189.625	0.25	fixation_change	n/a	n/a	n/a
190.1061	0.0	response	n/a	n/a	0.4811
190.75	0.25	fixation_change	n/a	n/a	n/a
191.287	0.0	response	n/a	n/a	0.537
199.0	0.25	fixation_change	n/a	n/a	n/a
199.3966	0.0	response	n/a	n/a	0.3966
200.25	0.25	fixation_change	n/a	n/a	n/a
200.6278	0.0	response	n/a	n/a	0.3778
202.0001	0.5	image	male	n09624168_2670	n/a
207.5	0.25	fixation_change	n/a	n/a	n/a
207.9712	0.0	response	n/a	n/a	0.4712
209.875	0.25	fixation_change	n/a	n/a	n/a
210.3601	0.0	response	n/a	n/a	0.4851
213.2661	0.5	image	airliner	n02690373_1083	n/a
216.375	0.25	fixation_change	n/a	n/a	n/a
216.8567	0.0	response	n/a	n/a	0.4817
218.875	0.25	fixation_change	n/a	n/a	n/a
219.2585	0.0	response	n/a	n/a	0.3835
221.75	0.25	fixation_change	n/a	n/a	n/a
222.3838	0.0	response	n/a	n/a	0.6338
224.25	0.25	fixation_change	n/a	n/a	n/a
224.8804	0.0	response	n/a	n/a	0.6304
