onset	duration	trial_type	image_category	imnet_filename	reaction_time
0.0	0.5	scramble	toy_poodle	n02113624_526	n/a
1.0051	0.5	scramble	airliner	n02690373_170	n/a
2.0051	0.5	scramble	toy_poodle	n02113624_374	n/a
3.005	0.5	scramble	female	n09619168_455	n/a
4.005	0.5	scramble	fighter	n03335030_3431	n/a
5.0049	0.5	scramble	toy_poodle	n02113624_54	n/a
5.375	0.25	fixation_change	n/a	n/a	n/a
5.9006	0.0	response	n/a	n/a	0.5256
6.0049	0.5	scramble	jeep	n03594945_6543	n/a
7.0049	0.5	scramble	airliner	n02690373_349	n/a
8.0048	0.5	scramble	airliner	n02690373_357	n/a
9.0047	0.5	scramble	female	n09619168_4332	n/a
10.0048	0.5	image	toy_poodle	n02113624_368	n/a
11.0047	0.5	image	jeep	n03594945_5487	n/a
12.0046	0.5	image	sportscar	n04285008_2792	n/a
13.0045	0.5	image	SiberianHusky	n02110185_4030	n/a
14.0045	0.5	image	toy_poodle	n02113624_464	n/a
14.125	0.25	fixation_change	n/a	n/a	n/a
14.4923	0.0	response	n/a	n/a	0.3673
15.0044	0.5	image	fighter	n03335030_3336	n/a
16.0044	0.5	image	airliner	n02690373_379	n/a
17.0044	0.5	image	male	n09624168_3033	n/a
18.0043	0.5	image	female	n09619168_4332	n/a
19.0043	0.5	image	female	n09619168_4984	n/a
20.0042	0.5	image	toy_poodle	n02113624_574	n/a
21.0041	0.5	image	sportscar	n04285008_2851	n/a
22.0041	0.5	image	airliner	n02690373_296	n/a
22.25	0.25	fixation_change	n/a	n/a	n/a
22.5948	0.0	response	n/a	n/a	0.3448
23.0041	0.5	image	female	n09619168_46	n/a
24.004	0.5	image	female	n09619168_5017	n/a
25.0039	0.5	image	sportscar	n04285008_2829	n/a
26.0039	0.5	image	toy_poodle	n02113624_54	n/a
26.125	0.25	fixation_change	n/a	n/a	n/a
26.4796	0.0	response	n/a	n/a	0.3546
27.0038	0.5	image	SiberianHusky	n02110185_3836	n/a
28.0037	0.5	image	male	n09624168_3270	n/a
29.0038	0.5	image	SiberianHusky	n02110185_4608	n/a
30.0037	0.5	scramble	sportscar	n04285008_2595	n/a
31.0036	0.5	scramble	toy_poodle	n02113624_574	n/a
31.5	0.25	fixation_change	n/a	n/a	n/a
31.9463	0.0	response	n/a	n/a	0.4463
32.0036	0.5	scramble	airliner	n02690373_283	n/a
33.0035	0.5	scramble	toy_poodle	n02113624_572	n/a
34.0035	0.5	scramble	jeep	n03594945_6534	n/a
35.0034	0.5	scramble	female	n09619168_4541	n/a
35.25	0.25	fixation_change	n/a	n/a	n/a
35.5725	0.0	response	n/a	n/a	0.3225
36.0034	0.5	scramble	jeep	n03594945_6114	n/a
37.0033	0.5	scramble	fighter	n03335030_3935	n/a
38.0033	0.5	scramble	toy_poodle	n02113624_528	n/a
39.0032	0.5	scramble	jeep	n03594945_5573	n/a
40.0032	0.5	scramble	female	n09619168_4815	n/a
41.0031	0.5	scramble	sportscar	n04285008_2907	n/a
41.25	0.25	fixation_change	n/a	n/a	n/a
41.5628	0.0	response	n/a	n/a	0.3128
42.003	0.5	scramble	sportscar	n04285008_2727	n/a
43.003	0.5	scramble	fighter	n03335030_322	n/a
44.0029	0.5	scramble	female	n09619168_4689	n/a
45.0029	0.5	scramble	fighter	n03335030_3251	n/a
46.0029	0.5	scramble	SiberianHusky	n02110185_4441	n/a
47.0028	0.5	scramble	toy_poodle	n02113624_464	n/a
48.0028	0.5	scramble	male	n09624168_3214	n/a
48.625	0.25	fixation_change	n/a	n/a	n/a
48.9718	0.0	response	n/a	n/a	0.3468
49.0027	0.5	scramble	sportscar	n04285008_2972	n/a
50.0026	0.5	image	male	n09624168_3066	n/a
51.0026	0.5	image	jeep	n03594945_6762	n/a
52.0026	0.5	image	toy_poodle	n02113624_572	n/a
