onset	duration	trial_type	image_category	imnet_filename	reaction_time
1.125	0.25	fixation_change	n/a	n/a	n/a
2.4599	0.0	response	n/a	n/a	1.3349
5.5	0.25	fixation_change	n/a	n/a	n/a
5.8694	0.0	response	n/a	n/a	0.3694
12.0147	0.5	image	SiberianHusky	n02110185_1245	n/a
12.25	0.25	fixation_change	n/a	n/a	n/a
12.8078	0.0	response	n/a	n/a	0.5578
16.5	0.25	fixation_change	n/a	n/a	n/a
16.8949	0.0	response	n/a	n/a	0.3949
22.375	0.25	fixation_change	n/a	n/a	n/a
22.7507	0.0	response	n/a	n/a	0.3757
24.5104	0.5	image	airliner	n02690373_1325	n/a
28.0	0.25	fixation_change	n/a	n/a	n/a
28.5585	0.0	response	n/a	n/a	0.5585
35.5066	0.5	image	SiberianHusky	n02110185_1511	n/a
36.875	0.25	fixation_change	n/a	n/a	n/a
37.2394	0.0	response	n/a	n/a	0.3644
40.125	0.25	fixation_change	n/a	n/a	n/a
40.5003	0.0	response	n/a	n/a	0.3753
41.5	0.25	fixation_change	n/a	n/a	n/a
41.8404	0.0	response	n/a	n/a	0.3404
48.8853	0.5	image	fighter	n03335030_2112	n/a
49.375	0.25	fixation_change	n/a	n/a	n/a
49.8111	0.0	response	n/a	n/a	0.4361
57.5	0.25	fixation_change	n/a	n/a	n/a
57.875	0.0	response	n/a	n/a	0.375
59.6316	0.5	image	toy_poodle	n02113624_223	n/a
61.5	0.25	fixation_change	n/a	n/a	n/a
61.871	0.0	response	n/a	n/a	0.371
63.625	0.25	fixation_change	n/a	n/a	n/a
64.0419	0.0	response	n/a	n/a	0.4169
66.0	0.25	fixation_change	n/a	n/a	n/a
66.4048	0.0	response	n/a	n/a	0.4048
68.375	0.25	fixation_change	n/a	n/a	n/a
68.7128	0.0	response	n/a	n/a	0.3378
70.8777	0.5	image	fighter	n03335030_3181	n/a
74.125	0.25	fixation_change	n/a	n/a	n/a
74.4937	0.0	response	n/a	n/a	0.3687
81.875	0.25	fixation_change	n/a	n/a	n/a
82.2429	0.0	response	n/a	n/a	0.3679
83.25	0.25	fixation_change	n/a	n/a	n/a
83.8266	0.0	response	n/a	n/a	0.5766
84.1398	0.5	image	male	n09624168_1054	n/a
89.0	0.25	fixation_change	n/a	n/a	n/a
89.3714	0.0	response	n/a	n/a	0.3714
92.0	0.25	fixation_change	n/a	n/a	n/a
92.2934	0.0	response	n/a	n/a	0.2934
94.75	0.25	fixation_change	n/a	n/a	n/a
95.2243	0.0	response	n/a	n/a	0.4743
97.6351	0.5	image	sportscar	n04285008_2460	n/a
101.5	0.25	fixation_change	n/a	n/a	n/a
101.8302	0.0	response	n/a	n/a	0.3302
104.0	0.25	fixation_change	n/a	n/a	n/a
104.3686	0.0	response	n/a	n/a	0.3686
105.875	0.25	fixation_change	n/a	n/a	n/a
106.3151	0.0	response	n/a	n/a	0.4401
107.515	0.5	image	male	n09624168_1003	n/a
110.5	0.25	fixation_change	n/a	n/a	n/a
110.8581	0.0	response	n/a	n/a	0.3581
113.0	0.25	fixation_change	n/a	n/a	n/a
113.334	0.0	response	n/a	n/a	0.334
117.0	0.25	fixation_change	n/a	n/a	n/a
117.452	0.0	response	n/a	n/a	0.452
119.5	0.25	fixation_change	n/a	n/a	n/a
119.8379	0.0	response	n/a	n/a	0.3379
120.3772	0.5	image	female	n09619168_2842	n/a
127.625	0.25	fixation_change	n/a	n/a	n/a
128.0988	0.0	response	n/a	n/a	0.4738
130.25	0.25	fixation_change	n/a	n/a	n/a
130.6878	0.0	response	n/a	n/a	0.4378
132.7563	0.5	image	female	n09619168_258	n/a
135.625	0.25	fixation_change	n/a	n/a	n/a
135.9957	0.0	response	n/a	n/a	0.3707
138.0	0.25	fixation_change	n/a	n/a	n/a
138.4616	0.0	response	n/a	n/a	0.4616
142.5	0.25	fixation_change	n/a	n/a	n/a
142.8675	0.0	response	n/a	n/a	0.3675
