onset	duration	trial_type	image_category	imnet_filename	reaction_time
3.75	0.25	fixation_change	n/a	n/a	n/a
4.9689	0.0	response	n/a	n/a	1.2189
5.25	0.25	fixation_change	n/a	n/a	n/a
6.0409	0.0	response	n/a	n/a	0.7909
6.375	0.25	fixation_change	n/a	n/a	n/a
7.0248	0.0	response	n/a	n/a	0.6498
7.5	0.25	fixation_change	n/a	n/a	n/a
8.1139	0.0	response	n/a	n/a	0.6139
10.75	0.25	fixation_change	n/a	n/a	n/a
11.3338	0.0	response	n/a	n/a	0.5838
12.0019	0.5	image	airliner	n02690373_1279	n/a
13.5	0.25	fixation_change	n/a	n/a	n/a
14.1703	0.0	response	n/a	n/a	0.6703
17.0	0.25	fixation_change	n/a	n/a	n/a
17.2786	0.0	response	n/a	n/a	0.2786
22.75	0.25	fixation_change	n/a	n/a	n/a
23.1313	0.5	image	male	n09624168_134	n/a
23.2026	0.0	response	n/a	n/a	0.4526
28.25	0.25	fixation_change	n/a	n/a	n/a
28.7925	0.0	response	n/a	n/a	0.5425
31.0	0.25	fixation_change	n/a	n/a	n/a
31.4806	0.0	response	n/a	n/a	0.4806
34.3775	0.5	image	sportscar	n04285008_2272	n/a
35.125	0.25	fixation_change	n/a	n/a	n/a
35.4704	0.0	response	n/a	n/a	0.3454
38.75	0.25	fixation_change	n/a	n/a	n/a
39.2843	0.0	response	n/a	n/a	0.5343
45.75	0.25	fixation_change	n/a	n/a	n/a
46.0972	0.0	response	n/a	n/a	0.3472
46.2567	0.5	image	SiberianHusky	n02110185_2076	n/a
49.75	0.25	fixation_change	n/a	n/a	n/a
50.4711	0.0	response	n/a	n/a	0.7211
54.125	0.25	fixation_change	n/a	n/a	n/a
54.488	0.0	response	n/a	n/a	0.363
55.8867	0.5	image	SiberianHusky	n02110185_2491	n/a
59.625	0.25	fixation_change	n/a	n/a	n/a
60.132	0.0	response	n/a	n/a	0.507
65.375	0.25	fixation_change	n/a	n/a	n/a
65.3834	0.5	image	fighter	n03335030_2794	n/a
65.7758	0.0	response	n/a	n/a	0.4008
66.625	0.25	fixation_change	n/a	n/a	n/a
67.3899	0.0	response	n/a	n/a	0.7649
68.375	0.25	fixation_change	n/a	n/a	n/a
69.0738	0.0	response	n/a	n/a	0.6988
73.375	0.25	fixation_change	n/a	n/a	n/a
73.7867	0.0	response	n/a	n/a	0.4117
75.0135	0.5	image	airliner	n02690373_1171	n/a
81.75	0.25	fixation_change	n/a	n/a	n/a
82.2036	0.0	response	n/a	n/a	0.4536
84.625	0.25	fixation_change	n/a	n/a	n/a
86.2595	0.5	image	jeep	n03594945_1671	n/a
90.875	0.25	fixation_change	n/a	n/a	n/a
91.3724	0.0	response	n/a	n/a	0.4974
92.375	0.25	fixation_change	n/a	n/a	n/a
93.5	0.25	fixation_change	n/a	n/a	n/a
93.9324	0.0	response	n/a	n/a	0.4324
97.7555	0.5	image	jeep	n03594945_2804	n/a
98.75	0.25	fixation_change	n/a	n/a	n/a
99.0745	0.0	response	n/a	n/a	0.3245
104.875	0.25	fixation_change	n/a	n/a	n/a
105.4832	0.0	response	n/a	n/a	0.6082
109.125	0.25	fixation_change	n/a	n/a	n/a
110.0681	0.0	response	n/a	n/a	0.9431
110.2512	0.5	image	sportscar	n04285008_1667	n/a
113.125	0.25	fixation_change	n/a	n/a	n/a
113.6001	0.0	response	n/a	n/a	0.4751
117.125	0.25	fixation_change	n/a	n/a	n/a
117.819	0.0	response	n/a	n/a	0.694
121.0141	0.5	image	male	n09624168_1143	n/a
124.125	0.25	fixation_change	n/a	n/a	n/a
124.5129	0.0	response	n/a	n/a	0.3879
130.0	0.25	fixation_change	n/a	n/a	n/a
130.6717	0.0	response	n/a	n/a	0.6717
131.5105	0.5	image	fighter	n03335030_1075	n/a
132.875	0.25	fixation_change	n/a	n/a	n/a
133.3202	0.0	response	n/a	n/a	0.4452
140.7573	0.5	image	SiberianHusky	n02110185_1338	n/a
141.375	0.25	fixation_change	n/a	n/a	n/a
141.7805	0.0	response	n/a	n/a	0.4055
145.375	0.25	fixation_change	n/a	n/a	n/a
145.7155	0.0	response	n/a	n/a	0.3405
149.375	0.25	fixation_change	n/a	n/a	n/a
149.6814	0.0	response	n/a	n/a	0.3064
153.0	0.25	fixation_change	n/a	n/a	n/a
153.3575	0.0	response	n/a	n/a	0.3575
154.5026	0.5	image	female	n09619168_1789	n/a
161.25	0.25	fixation_change	n/a	n/a	n/a
161.5712	0.0	response	n/a	n/a	0.3212
164.0159	0.5	image	toy_poodle	n02113624_225	n/a
166.0	0.25	fixation_change	n/a	n/a	n/a
166.5621	0.0	response	n/a	n/a	0.5621
171.0	0.25	fixation_change	n/a	n/a	n/a
171.5901	0.0	response	n/a	n/a	0.5901
177.7612	0.5	image	female	n09619168_1072	n/a
178.375	0.25	fixation_change	n/a	n/a	n/a
178.7749	0.0	response	n/a	n/a	0.3999
180.5	0.25	fixation_change	n/a	n/a	n/a
181.0	0.0	response	n/a	n/a	0.5
183.125	0.25	fixation_change	n/a	n/a	n/a
183.428	0.0	response	n/a	n/a	0.303
185.625	0.25	fixation_change	n/a	n/a	n/a
185.9388	0.0	response	n/a	n/a	0.3138
186.625	0.25	fixation_change	n/a	n/a	n/a
187.2098	0.0	response	n/a	n/a	0.5848
188.0076	0.5	image	sportscar	n04285008_1785	n/a
194.5	0.25	fixation_change	n/a	n/a	n/a
194.9316	0.0	response	n/a	n/a	0.4316
195.625	0.25	fixation_change	n/a	n/a	n/a
196.1126	0.0	response	n/a	n/a	0.4876
196.625	0.25	fixation_change	n/a	n/a	n/a
197.0276	0.0	response	n/a	n/a	0.4026
197.3877	0.5	image	toy_poodle	n02113624_320	n/a
204.375	0.25	fixation_change	n/a	n/a	n/a
204.7876	0.0	response	n/a	n/a	0.4126
210.0167	0.5	image	female	n09619168_264	n/a
211.5	0.25	fixation_change	n/a	n/a	n/a
211.9543	0.0	response	n/a	n/a	0.4543
219.375	0.25	fixation_change	n/a	n/a	n/a
219.8112	0.0	response	n/a	n/a	0.4362
222.7622	0.5	image	fighter	n03335030_1550	n/a
227.875	0.25	fixation_change	n/a	n/a	n/a
228.1521	0.0	response	n/a	n/a	0.2771
