onset	duration	trial_type	image_category	imnet_filename	reaction_time
0.0	0.5	scramble	airliner	n02690373_170	n/a
1.0048	0.5	scramble	toy_poodle	n02113624_530	n/a
2.0044	0.5	scramble	female	n09619168_46	n/a
3.0041	0.5	scramble	airliner	n02690373_296	n/a
4.0037	0.5	scramble	female	n09619168_4832	n/a
4.5	0.25	fixation_change	n/a	n/a	n/a
4.9709	0.0	response	n/a	n/a	0.4709
5.0034	0.5	scramble	toy_poodle	n02113624_365	n/a
6.0031	0.5	scramble	toy_poodle	n02113624_526	n/a
7.0027	0.5	scramble	jeep	n03594945_6551	n/a
7.75	0.25	fixation_change	n/a	n/a	n/a
8.0023	0.5	scramble	airliner	n02690373_379	n/a
8.1068	0.0	response	n/a	n/a	0.3568
9.002	0.5	scramble	sportscar	n04285008_2793	n/a
10.0016	0.5	image	fighter	n03335030_3961	n/a
11.0013	0.5	image	toy_poodle	n02113624_561	n/a
12.0011	0.5	image	jeep	n03594945_5487	n/a
13.0006	0.5	image	fighter	n03335030_3914	n/a
14.0003	0.5	image	male	n09624168_3270	n/a
14.25	0.25	fixation_change	n/a	n/a	n/a
14.6637	0.0	response	n/a	n/a	0.4137
15.0166	0.5	image	airliner	n02690373_243	n/a
16.0163	0.5	image	toy_poodle	n02113624_462	n/a
17.0159	0.5	image	airliner	n02690373_427	n/a
18.0156	0.5	image	jeep	n03594945_5346	n/a
19.0152	0.5	image	airliner	n02690373_271	n/a
20.0149	0.5	image	female	n09619168_4832	n/a
21.0145	0.5	image	male	n09624168_3075	n/a
22.0142	0.5	image	fighter	n03335030_3935	n/a
22.875	0.25	fixation_change	n/a	n/a	n/a
23.0138	0.5	image	SiberianHusky	n02110185_4677	n/a
23.2329	0.0	response	n/a	n/a	0.3579
24.0135	0.5	image	sportscar	n04285008_2972	n/a
25.0132	0.5	image	fighter	n03335030_3251	n/a
26.0128	0.5	image	jeep	n03594945_5573	n/a
27.0125	0.5	image	SiberianHusky	n02110185_3836	n/a
28.0121	0.5	image	female	n09619168_5082	n/a
29.0118	0.5	image	female	n09619168_4988	n/a
30.0	0.25	fixation_change	n/a	n/a	n/a
30.0114	0.5	scramble	male	n09624168_3075	n/a
30.4305	0.0	response	n/a	n/a	0.4305
31.0111	0.5	scramble	sportscar	n04285008_2727	n/a
32.0107	0.5	scramble	jeep	n03594945_5487	n/a
33.0104	0.5	scramble	sportscar	n04285008_2789	n/a
34.01	0.5	scramble	airliner	n02690373_190	n/a
35.0097	0.5	scramble	airliner	n02690373_278	n/a
36.0094	0.5	scramble	sportscar	n04285008_2906	n/a
36.125	0.25	fixation_change	n/a	n/a	n/a
36.5064	0.0	response	n/a	n/a	0.3814
37.009	0.5	scramble	sportscar	n04285008_27	n/a
38.0087	0.5	scramble	airliner	n02690373_16	n/a
39.0083	0.5	scramble	sportscar	n04285008_2817	n/a
40.008	0.5	scramble	toy_poodle	n02113624_572	n/a
41.0076	0.5	scramble	toy_poodle	n02113624_528	n/a
42.0073	0.5	scramble	toy_poodle	n02113624_374	n/a
43.0069	0.5	scramble	jeep	n03594945_6762	n/a
43.125	0.25	fixation_change	n/a	n/a	n/a
43.5283	0.0	response	n/a	n/a	0.4033
44.0066	0.5	scramble	male	n09624168_2972	n/a
45.0062	0.5	scramble	SiberianHusky	n02110185_3497	n/a
46.0059	0.5	scramble	sportscar	n04285008_2960	n/a
47.0055	0.5	scramble	SiberianHusky	n02110185_4577	n/a
48.0052	0.5	scramble	airliner	n02690373_290	n/a
49.0048	0.5	scramble	fighter	n03335030_3914	n/a
50.0045	0.5	image	airliner	n02690373_194	n/a
50.125	0.25	fixation_change	n/a	n/a	n/a
50.4841	0.0	response	n/a	n/a	0.3591
51.0041	0.5	image	SiberianHusky	n02110185_4710	n/a
52.0038	0.5	image	airliner	n02690373_357	n/a
53.0035	0.5	image	sportscar	n04285008_2829	n/a
54.0031	0.5	image	toy_poodle	n02113624_572	n/a
55.0028	0.5	image	airliner	n02690373_303	n/a
55.75	0.25	fixation_change	n/a	n/a	n/a
56.0024	0.5	image	sportscar	n04285008_2793	n/a
56.193	0.0	response	n/a	n/a	0.443
57.0021	0.5	image	SiberianHusky	n02110185_4907	n/a
58.0017	0.5	image	male	n09624168_2880	n/a
59.0014	0.5	image	male	n09624168_3203	n/a
60.001	0.5	image	fighter	n03335030_3891	n/a
61.0007	0.5	image	airliner	n02690373_283	n/a
62.0003	0.5	image	sportscar	n04285008_2653	n/a
63.0	0.25	fixation_change	n/a	n/a	n/a
63.0166	0.5	image	fighter	n03335030_3431	n/a
63.4449	0.0	response	n/a	n/a	0.4449
64.0163	0.5	image	sportscar	n04285008_2730	n/a
65.016	0.5	image	SiberianHusky	n02110185_3969	n/a
66.0156	0.5	image	male	n09624168_3098	n/a
