onset	duration	trial_type	image_category	imnet_filename	reaction_time
6.75	0.25	fixation_change	n/a	n/a	n/a
7.2718	0.0	response	n/a	n/a	0.5218
8.875	0.25	fixation_change	n/a	n/a	n/a
9.2278	0.0	response	n/a	n/a	0.3528
10.5	0.25	fixation_change	n/a	n/a	n/a
10.8428	0.0	response	n/a	n/a	0.3428
12.0165	0.5	image	sportscar	n04285008_1809	n/a
12.375	0.25	fixation_change	n/a	n/a	n/a
12.6758	0.0	response	n/a	n/a	0.3008
16.375	0.25	fixation_change	n/a	n/a	n/a
16.8607	0.0	response	n/a	n/a	0.4857
25.0	0.25	fixation_change	n/a	n/a	n/a
25.3144	0.0	response	n/a	n/a	0.3144
26.1283	0.5	image	toy_poodle	n02113624_265	n/a
29.0	0.25	fixation_change	n/a	n/a	n/a
29.2865	0.0	response	n/a	n/a	0.2865
37.1412	0.5	image	fighter	n03335030_2443	n/a
37.375	0.25	fixation_change	n/a	n/a	n/a
37.7134	0.0	response	n/a	n/a	0.3384
39.125	0.25	fixation_change	n/a	n/a	n/a
39.5293	0.0	response	n/a	n/a	0.4043
41.125	0.25	fixation_change	n/a	n/a	n/a
41.5044	0.0	response	n/a	n/a	0.3794
46.0	0.25	fixation_change	n/a	n/a	n/a
46.3612	0.0	response	n/a	n/a	0.3612
49.6368	0.5	image	female	n09619168_2983	n/a
54.375	0.25	fixation_change	n/a	n/a	n/a
54.713	0.0	response	n/a	n/a	0.338
56.5	0.25	fixation_change	n/a	n/a	n/a
56.839	0.0	response	n/a	n/a	0.339
58.625	0.25	fixation_change	n/a	n/a	n/a
58.943	0.0	response	n/a	n/a	0.318
60.0165	0.5	image	airliner	n02690373_1351	n/a
62.375	0.25	fixation_change	n/a	n/a	n/a
62.7469	0.0	response	n/a	n/a	0.3719
67.0	0.25	fixation_change	n/a	n/a	n/a
67.3628	0.0	response	n/a	n/a	0.3628
68.0	0.25	fixation_change	n/a	n/a	n/a
68.3749	0.0	response	n/a	n/a	0.3749
72.1291	0.5	image	jeep	n03594945_4958	n/a
72.25	0.25	fixation_change	n/a	n/a	n/a
72.6707	0.0	response	n/a	n/a	0.4207
74.75	0.25	fixation_change	n/a	n/a	n/a
75.0827	0.0	response	n/a	n/a	0.3327
82.75	0.25	fixation_change	n/a	n/a	n/a
83.0676	0.0	response	n/a	n/a	0.3176
83.3752	0.5	image	airliner	n02690373_1002	n/a
88.125	0.25	fixation_change	n/a	n/a	n/a
88.4535	0.0	response	n/a	n/a	0.3285
96.0	0.25	fixation_change	n/a	n/a	n/a
96.3873	0.5	image	female	n09619168_3030	n/a
96.4943	0.0	response	n/a	n/a	0.4943
97.5	0.25	fixation_change	n/a	n/a	n/a
97.9783	0.0	response	n/a	n/a	0.4783
102.5	0.25	fixation_change	n/a	n/a	n/a
102.9952	0.0	response	n/a	n/a	0.4952
104.75	0.25	fixation_change	n/a	n/a	n/a
105.0972	0.0	response	n/a	n/a	0.3472
106.134	0.5	image	male	n09624168_2199	n/a
109.25	0.25	fixation_change	n/a	n/a	n/a
109.6261	0.0	response	n/a	n/a	0.3761
113.875	0.25	fixation_change	n/a	n/a	n/a
114.174	0.0	response	n/a	n/a	0.299
116.1304	0.5	image	fighter	n03335030_1957	n/a
117.375	0.25	fixation_change	n/a	n/a	n/a
117.722	0.0	response	n/a	n/a	0.347
125.75	0.25	fixation_change	n/a	n/a	n/a
126.0768	0.0	response	n/a	n/a	0.3268
126.5102	0.5	image	male	n09624168_1708	n/a
132.625	0.25	fixation_change	n/a	n/a	n/a
132.9567	0.0	response	n/a	n/a	0.3317
136.8899	0.5	image	fighter	n03335030_2448	n/a
138.625	0.25	fixation_change	n/a	n/a	n/a
138.9866	0.0	response	n/a	n/a	0.3616
147.1364	0.5	image	fighter	n03335030_261	n/a
147.25	0.25	fixation_change	n/a	n/a	n/a
147.6057	0.0	response	n/a	n/a	0.3557
154.125	0.25	fixation_change	n/a	n/a	n/a
154.6923	0.0	response	n/a	n/a	0.5673
157.8827	0.5	image	SiberianHusky	n02110185_1530	n/a
159.25	0.25	fixation_change	n/a	n/a	n/a
159.6462	0.0	response	n/a	n/a	0.3962
165.375	0.25	fixation_change	n/a	n/a	n/a
165.7112	0.0	response	n/a	n/a	0.3362
168.2624	0.5	image	jeep	n03594945_2909	n/a
172.25	0.25	fixation_change	n/a	n/a	n/a
172.593	0.0	response	n/a	n/a	0.343
178.1257	0.5	image	airliner	n02690373_16	n/a
180.25	0.25	fixation_change	n/a	n/a	n/a
180.5909	0.0	response	n/a	n/a	0.3409
187.8889	0.5	image	sportscar	n04285008_2234	n/a
188.25	0.25	fixation_change	n/a	n/a	n/a
188.5637	0.0	response	n/a	n/a	0.3137
191.0	0.25	fixation_change	n/a	n/a	n/a
191.4147	0.0	response	n/a	n/a	0.4147
194.5	0.25	fixation_change	n/a	n/a	n/a
195.0387	0.0	response	n/a	n/a	0.5387
197.1357	0.5	image	airliner	n02690373_1038	n/a
198.75	0.25	fixation_change	n/a	n/a	n/a
199.1455	0.0	response	n/a	n/a	0.3955
201.25	0.25	fixation_change	n/a	n/a	n/a
201.7366	0.0	response	n/a	n/a	0.4866
203.875	0.25	fixation_change	n/a	n/a	n/a
204.6275	0.0	response	n/a	n/a	0.7525
206.0	0.25	fixation_change	n/a	n/a	n/a
206.3855	0.0	response	n/a	n/a	0.3855
209.5148	0.5	image	sportscar	n04285008_1085	n/a
213.875	0.25	fixation_change	n/a	n/a	n/a
214.3313	0.0	response	n/a	n/a	0.4563
220.511	0.5	image	toy_poodle	n02113624_152	n/a
222.375	0.25	fixation_change	n/a	n/a	n/a
222.7482	0.0	response	n/a	n/a	0.3732
229.5	0.25	fixation_change	n/a	n/a	n/a
229.946	0.0	response	n/a	n/a	0.446
231.875	0.25	fixation_change	n/a	n/a	n/a
232.257	0.5	image	female	n09619168_106	n/a
232.355	0.0	response	n/a	n/a	0.48
238.625	0.25	fixation_change	n/a	n/a	n/a
239.013	0.0	response	n/a	n/a	0.388
241.25	0.25	fixation_change	n/a	n/a	n/a
241.6799	0.0	response	n/a	n/a	0.4299
242.5034	0.5	image	male	n09624168_1048	n/a
245.875	0.25	fixation_change	n/a	n/a	n/a
246.3849	0.0	response	n/a	n/a	0.5099
253.75	0.25	fixation_change	n/a	n/a	n/a
254.0856	0.0	response	n/a	n/a	0.3356
255.75	0.25	fixation_change	n/a	n/a	n/a
256.0154	0.5	image	toy_poodle	n02113624_246	n/a
256.1236	0.0	response	n/a	n/a	0.3736
261.625	0.25	fixation_change	n/a	n/a	n/a
261.9645	0.0	response	n/a	n/a	0.3395
265.3788	0.5	image	SiberianHusky	n02110185_3275	n/a
267.75	0.25	fixation_change	n/a	n/a	n/a
268.1684	0.0	response	n/a	n/a	0.4184
274.75	0.25	fixation_change	n/a	n/a	n/a
275.2363	0.0	response	n/a	n/a	0.4863
277.258	0.5	image	toy_poodle	n02113624_1008	n/a
277.875	0.25	fixation_change	n/a	n/a	n/a
278.2572	0.0	response	n/a	n/a	0.3822
283.25	0.25	fixation_change	n/a	n/a	n/a
283.6671	0.0	response	n/a	n/a	0.4171
291.3865	0.5	image	SiberianHusky	n02110185_1805	n/a
291.75	0.25	fixation_change	n/a	n/a	n/a
292.06	0.0	response	n/a	n/a	0.31
300.375	0.25	fixation_change	n/a	n/a	n/a
300.7638	0.0	response	n/a	n/a	0.3888
304.3819	0.5	image	sportscar	n04285008_1949	n/a
306.125	0.25	fixation_change	n/a	n/a	n/a
306.4339	0.0	response	n/a	n/a	0.3089
313.625	0.25	fixation_change	n/a	n/a	n/a
313.9166	0.0	response	n/a	n/a	0.2916
317.25	0.25	fixation_change	n/a	n/a	n/a
317.5967	0.0	response	n/a	n/a	0.3467
317.7607	0.5	image	female	n09619168_3884	n/a
320.375	0.25	fixation_change	n/a	n/a	n/a
320.7295	0.0	response	n/a	n/a	0.3545
324.75	0.25	fixation_change	n/a	n/a	n/a
325.1204	0.0	response	n/a	n/a	0.3704
328.8902	0.5	image	jeep	n03594945_3409	n/a
329.2504	0.0	response	n/a	n/a	4.5004
331.75	0.25	fixation_change	n/a	n/a	n/a
332.0803	0.0	response	n/a	n/a	0.3303
336.5	0.25	fixation_change	n/a	n/a	n/a
336.8402	0.0	response	n/a	n/a	0.3402
343.1352	0.5	image	SiberianHusky	n02110185_248	n/a
345.375	0.25	fixation_change	n/a	n/a	n/a
345.7141	0.0	response	n/a	n/a	0.3391
353.125	0.25	fixation_change	n/a	n/a	n/a
353.7409	0.0	response	n/a	n/a	0.6159
353.8815	0.5	image	jeep	n03594945_305	n/a
356.75	0.25	fixation_change	n/a	n/a	n/a
357.1769	0.0	response	n/a	n/a	0.4269
359.125	0.25	fixation_change	n/a	n/a	n/a
359.4858	0.0	response	n/a	n/a	0.3608
367.0	0.25	fixation_change	n/a	n/a	n/a
367.2602	0.5	image	male	n09624168_1764	n/a
367.3137	0.0	response	n/a	n/a	0.3137
374.875	0.25	fixation_change	n/a	n/a	n/a
375.3425	0.0	response	n/a	n/a	0.4675
376.75	0.25	fixation_change	n/a	n/a	n/a
377.2506	0.0	response	n/a	n/a	0.5006
