onset	duration	trial_type	image_category	imnet_filename	reaction_time
7.25	0.25	fixation_change	n/a	n/a	n/a
7.7517	0.0	response	n/a	n/a	0.5017
11.625	0.25	fixation_change	n/a	n/a	n/a
12.0065	0.0	response	n/a	n/a	0.3815
12.0106	0.5	image	jeep	n03594945_2909	n/a
17.875	0.25	fixation_change	n/a	n/a	n/a
18.3043	0.0	response	n/a	n/a	0.4293
20.5	0.25	fixation_change	n/a	n/a	n/a
20.8933	0.0	response	n/a	n/a	0.3933
22.875	0.25	fixation_change	n/a	n/a	n/a
22.8768	0.5	image	toy_poodle	n02113624_191	n/a
23.4491	0.0	response	n/a	n/a	0.5741
31.5	0.25	fixation_change	n/a	n/a	n/a
31.9168	0.0	response	n/a	n/a	0.4168
34.3766	0.5	image	fighter	n03335030_2443	n/a
40.375	0.25	fixation_change	n/a	n/a	n/a
40.8685	0.0	response	n/a	n/a	0.4935
45.376	0.5	image	toy_poodle	n02113624_249	n/a
48.875	0.25	fixation_change	n/a	n/a	n/a
49.2491	0.0	response	n/a	n/a	0.3741
52.375	0.25	fixation_change	n/a	n/a	n/a
52.936	0.0	response	n/a	n/a	0.561
55.6257	0.5	image	fighter	n03335030_1515	n/a
60.75	0.25	fixation_change	n/a	n/a	n/a
61.1007	0.0	response	n/a	n/a	0.3507
66.0	0.25	fixation_change	n/a	n/a	n/a
66.3466	0.0	response	n/a	n/a	0.3466
68.2585	0.5	image	fighter	n03335030_2978	n/a
73.875	0.25	fixation_change	n/a	n/a	n/a
74.2634	0.0	response	n/a	n/a	0.3884
77.0	0.25	fixation_change	n/a	n/a	n/a
77.4911	0.0	response	n/a	n/a	0.4911
81.0081	0.5	image	SiberianHusky	n02110185_209	n/a
85.625	0.25	fixation_change	n/a	n/a	n/a
86.0488	0.0	response	n/a	n/a	0.4238
90.75	0.25	fixation_change	n/a	n/a	n/a
91.0386	0.0	response	n/a	n/a	0.2886
92.2577	0.5	image	SiberianHusky	n02110185_1289	n/a
95.625	0.25	fixation_change	n/a	n/a	n/a
95.9705	0.0	response	n/a	n/a	0.3455
98.75	0.25	fixation_change	n/a	n/a	n/a
99.0623	0.0	response	n/a	n/a	0.3123
103.0072	0.5	image	jeep	n03594945_5007	n/a
104.75	0.25	fixation_change	n/a	n/a	n/a
105.1181	0.0	response	n/a	n/a	0.3681
113.375	0.25	fixation_change	n/a	n/a	n/a
113.7427	0.0	response	n/a	n/a	0.3677
116.1401	0.5	image	airliner	n02690373_1325	n/a
117.875	0.25	fixation_change	n/a	n/a	n/a
118.1759	0.0	response	n/a	n/a	0.3009
125.875	0.25	fixation_change	n/a	n/a	n/a
125.8898	0.5	image	SiberianHusky	n02110185_1338	n/a
126.2703	0.0	response	n/a	n/a	0.3953
132.5	0.25	fixation_change	n/a	n/a	n/a
132.8561	0.0	response	n/a	n/a	0.3561
136.756	0.5	image	airliner	n02690373_1277	n/a
137.25	0.25	fixation_change	n/a	n/a	n/a
137.5479	0.0	response	n/a	n/a	0.2979
141.375	0.25	fixation_change	n/a	n/a	n/a
