onset	duration	trial_type	image_category	imnet_filename	reaction_time
2.625	0.25	fixation_change	n/a	n/a	n/a
2.9988	0.0	response	n/a	n/a	0.3738
10.0	0.25	fixation_change	n/a	n/a	n/a
10.4216	0.0	response	n/a	n/a	0.4216
12.0056	0.5	image	airliner	n02690373_1279	n/a
14.125	0.25	fixation_change	n/a	n/a	n/a
14.5025	0.0	response	n/a	n/a	0.3775
19.125	0.25	fixation_change	n/a	n/a	n/a
19.5911	0.0	response	n/a	n/a	0.4661
21.7552	0.5	image	jeep	n03594945_488	n/a
27.375	0.25	fixation_change	n/a	n/a	n/a
27.7209	0.0	response	n/a	n/a	0.3459
31.625	0.25	fixation_change	n/a	n/a	n/a
31.9648	0.0	response	n/a	n/a	0.3398
33.2548	0.5	image	sportscar	n04285008_2478	n/a
37.75	0.25	fixation_change	n/a	n/a	n/a
38.0766	0.0	response	n/a	n/a	0.3266
42.0	0.25	fixation_change	n/a	n/a	n/a
42.3236	0.0	response	n/a	n/a	0.3236
43.5044	0.5	image	female	n09619168_1786	n/a
44.375	0.25	fixation_change	n/a	n/a	n/a
44.6683	0.0	response	n/a	n/a	0.2933
52.375	0.25	fixation_change	n/a	n/a	n/a
52.8402	0.0	response	n/a	n/a	0.4652
53.8874	0.5	image	SiberianHusky	n02110185_3275	n/a
60.5	0.25	fixation_change	n/a	n/a	n/a
60.9167	0.0	response	n/a	n/a	0.4167
63.637	0.5	image	SiberianHusky	n02110185_2249	n/a
65.5	0.25	fixation_change	n/a	n/a	n/a
65.8817	0.0	response	n/a	n/a	0.3817
68.375	0.25	fixation_change	n/a	n/a	n/a
76.75	0.25	fixation_change	n/a	n/a	n/a
77.1302	0.0	response	n/a	n/a	0.3802
77.2532	0.5	image	sportscar	n04285008_1453	n/a
79.375	0.25	fixation_change	n/a	n/a	n/a
79.8725	0.0	response	n/a	n/a	0.4975
85.75	0.25	fixation_change	n/a	n/a	n/a
86.1389	0.0	response	n/a	n/a	0.3889
90.5	0.25	fixation_change	n/a	n/a	n/a
90.5027	0.5	image	male	n09624168_1211	n/a
90.8887	0.0	response	n/a	n/a	0.3887
98.25	0.25	fixation_change	n/a	n/a	n/a
98.5504	0.0	response	n/a	n/a	0.3004
99.5	0.25	fixation_change	n/a	n/a	n/a
99.8718	0.0	response	n/a	n/a	0.3718
100.2523	0.5	image	toy_poodle	n02113624_349	n/a
104.125	0.25	fixation_change	n/a	n/a	n/a
104.5961	0.0	response	n/a	n/a	0.4711
108.375	0.25	fixation_change	n/a	n/a	n/a
108.696	0.0	response	n/a	n/a	0.321
109.75	0.25	fixation_change	n/a	n/a	n/a
110.0679	0.0	response	n/a	n/a	0.3179
110.1353	0.5	image	sportscar	n04285008_1828	n/a
118.25	0.25	fixation_change	n/a	n/a	n/a
