onset	duration	trial_type	image_category	imnet_filename	reaction_time
3.875	0.25	fixation_change	n/a	n/a	n/a
4.6168	0.0	response	n/a	n/a	0.7418
8.375	0.25	fixation_change	n/a	n/a	n/a
8.7117	0.0	response	n/a	n/a	0.3367
12.0126	0.5	image	fighter	n03335030_1791	n/a
15.0	0.25	fixation_change	n/a	n/a	n/a
15.3855	0.0	response	n/a	n/a	0.3855
21.0123	0.5	image	female	n09619168_1617	n/a
23.25	0.25	fixation_change	n/a	n/a	n/a
23.6051	0.0	response	n/a	n/a	0.3551
25.125	0.25	fixation_change	n/a	n/a	n/a
25.6422	0.0	response	n/a	n/a	0.5172
33.0	0.25	fixation_change	n/a	n/a	n/a
33.2618	0.5	image	toy_poodle	n02113624_265	n/a
33.3648	0.0	response	n/a	n/a	0.3648
34.75	0.25	fixation_change	n/a	n/a	n/a
35.1017	0.0	response	n/a	n/a	0.3517
37.5	0.25	fixation_change	n/a	n/a	n/a
37.8646	0.0	response	n/a	n/a	0.3646
38.5	0.25	fixation_change	n/a	n/a	n/a
38.8426	0.0	response	n/a	n/a	0.3426
42.75	0.25	fixation_change	n/a	n/a	n/a
43.1144	0.0	response	n/a	n/a	0.3644
44.0114	0.5	image	female	n09619168_3530	n/a
49.125	0.25	fixation_change	n/a	n/a	n/a
49.4512	0.0	response	n/a	n/a	0.3262
55.511	0.5	image	jeep	n03594945_2501	n/a
56.375	0.25	fixation_change	n/a	n/a	n/a
56.76	0.0	response	n/a	n/a	0.385
61.5	0.25	fixation_change	n/a	n/a	n/a
61.9177	0.0	response	n/a	n/a	0.4177
67.0	0.25	fixation_change	n/a	n/a	n/a
67.3485	0.0	response	n/a	n/a	0.3485
68.5105	0.5	image	male	n09624168_1371	n/a
72.0	0.25	fixation_change	n/a	n/a	n/a
72.3798	0.0	response	n/a	n/a	0.3798
80.375	0.25	fixation_change	n/a	n/a	n/a
80.648	0.0	response	n/a	n/a	0.273
81.1267	0.5	image	sportscar	n04285008_2232	n/a
88.5	0.25	fixation_change	n/a	n/a	n/a
88.8407	0.0	response	n/a	n/a	0.3407
93.3763	0.5	image	jeep	n03594945_1129	n/a
93.6955	0.0	response	n/a	n/a	5.1955
94.25	0.25	fixation_change	n/a	n/a	n/a
94.5845	0.0	response	n/a	n/a	0.3345
99.375	0.25	fixation_change	n/a	n/a	n/a
99.9023	0.0	response	n/a	n/a	0.5273
103.125	0.25	fixation_change	n/a	n/a	n/a
103.5892	0.0	response	n/a	n/a	0.4642
105.1258	0.5	image	jeep	n03594945_3375	n/a
105.5	0.25	fixation_change	n/a	n/a	n/a
105.8461	0.0	response	n/a	n/a	0.3461
111.625	0.25	fixation_change	n/a	n/a	n/a
111.871	0.0	response	n/a	n/a	0.246
113.875	0.25	fixation_change	n/a	n/a	n/a
