onset	duration	trial_type	image_category	imnet_filename	reaction_time
2.25	0.25	fixation_change	n/a	n/a	n/a
2.6129	0.0	response	n/a	n/a	0.3629
6.75	0.25	fixation_change	n/a	n/a	n/a
7.0616	0.0	response	n/a	n/a	0.3116
9.125	0.25	fixation_change	n/a	n/a	n/a
9.4605	0.0	response	n/a	n/a	0.3355
12.0053	0.5	image	SiberianHusky	n02110185_1245	n/a
13.25	0.25	fixation_change	n/a	n/a	n/a
13.5533	0.0	response	n/a	n/a	0.3033
19.0	0.25	fixation_change	n/a	n/a	n/a
19.2575	0.0	response	n/a	n/a	0.2575
22.388	0.5	image	fighter	n03335030_2424	n/a
26.75	0.25	fixation_change	n/a	n/a	n/a
27.0826	0.0	response	n/a	n/a	0.3326
35.125	0.25	fixation_change	n/a	n/a	n/a
35.4371	0.0	response	n/a	n/a	0.3121
35.6374	0.5	image	female	n09619168_1224	n/a
37.25	0.25	fixation_change	n/a	n/a	n/a
37.685	0.0	response	n/a	n/a	0.435
42.75	0.25	fixation_change	n/a	n/a	n/a
43.0149	0.0	response	n/a	n/a	0.2649
45.0035	0.5	image	airliner	n02690373_1396	n/a
46.875	0.25	fixation_change	n/a	n/a	n/a
47.1685	0.0	response	n/a	n/a	0.2935
50.25	0.25	fixation_change	n/a	n/a	n/a
50.5794	0.0	response	n/a	n/a	0.3294
56.003	0.5	image	female	n09619168_2420	n/a
57.25	0.25	fixation_change	n/a	n/a	n/a
57.577	0.0	response	n/a	n/a	0.327
66.0	0.25	fixation_change	n/a	n/a	n/a
66.5345	0.0	response	n/a	n/a	0.5345
69.5023	0.5	image	jeep	n03594945_2501	n/a
69.875	0.25	fixation_change	n/a	n/a	n/a
70.4403	0.0	response	n/a	n/a	0.5653
75.0	0.25	fixation_change	n/a	n/a	n/a
75.4611	0.0	response	n/a	n/a	0.4611
82.25	0.25	fixation_change	n/a	n/a	n/a
82.5577	0.0	response	n/a	n/a	0.3077
82.8849	0.5	image	jeep	n03594945_354	n/a
88.75	0.25	fixation_change	n/a	n/a	n/a
89.1423	0.0	response	n/a	n/a	0.3923
91.875	0.25	fixation_change	n/a	n/a	n/a
92.1942	0.0	response	n/a	n/a	0.3192
93.0011	0.5	image	toy_poodle	n02113624_132	n/a
97.875	0.25	fixation_change	n/a	n/a	n/a
98.1879	0.0	response	n/a	n/a	0.3129
101.25	0.25	fixation_change	n/a	n/a	n/a
101.5735	0.0	response	n/a	n/a	0.3235
103.0005	0.5	image	toy_poodle	n02113624_222	n/a
103.25	0.25	fixation_change	n/a	n/a	n/a
103.5596	0.0	response	n/a	n/a	0.3096
110.375	0.25	fixation_change	n/a	n/a	n/a
110.7202	0.0	response	n/a	n/a	0.3452
116.5	0.25	fixation_change	n/a	n/a	n/a
116.7665	0.5	image	sportscar	n04285008_2460	n/a
116.997	0.0	response	n/a	n/a	0.497
121.625	0.25	fixation_change	n/a	n/a	n/a
121.9353	0.0	response	n/a	n/a	0.3103
128.125	0.25	fixation_change	n/a	n/a	n/a
128.4713	0.0	response	n/a	n/a	0.3463
129.0158	0.5	image	male	n09624168_2831	n/a
132.75	0.25	fixation_change	n/a	n/a	n/a
133.0591	0.0	response	n/a	n/a	0.3091
135.125	0.25	fixation_change	n/a	n/a	n/a
135.6191	0.0	response	n/a	n/a	0.4941
139.3821	0.5	image	SiberianHusky	n02110185_3275	n/a
143.75	0.25	fixation_change	n/a	n/a	n/a
144.0965	0.0	response	n/a	n/a	0.3465
144.875	0.25	fixation_change	n/a	n/a	n/a
145.3594	0.0	response	n/a	n/a	0.4844
148.8816	0.5	image	male	n09624168_1222	n/a
150.5	0.25	fixation_change	n/a	n/a	n/a
150.8461	0.0	response	n/a	n/a	0.3461
