onset	duration	trial_type	image_category	imnet_filename	reaction_time
7.375	0.25	fixation_change	n/a	n/a	n/a
7.7105	0.0	response	n/a	n/a	0.3355
12.0107	0.5	image	toy_poodle	n02113624_302	n/a
12.375	0.25	fixation_change	n/a	n/a	n/a
12.6452	0.0	response	n/a	n/a	0.2702
14.125	0.25	fixation_change	n/a	n/a	n/a
14.4142	0.0	response	n/a	n/a	0.2892
20.5	0.25	fixation_change	n/a	n/a	n/a
20.7757	0.0	response	n/a	n/a	0.2757
22.0101	0.5	image	male	n09624168_2199	n/a
23.875	0.25	fixation_change	n/a	n/a	n/a
24.1636	0.0	response	n/a	n/a	0.2886
31.6263	0.5	image	female	n09619168_2543	n/a
32.5	0.25	fixation_change	n/a	n/a	n/a
32.7901	0.0	response	n/a	n/a	0.2901
37.875	0.25	fixation_change	n/a	n/a	n/a
38.1369	0.0	response	n/a	n/a	0.2619
40.0	0.25	fixation_change	n/a	n/a	n/a
40.3727	0.0	response	n/a	n/a	0.3727
44.2589	0.5	image	jeep	n03594945_362	n/a
48.25	0.25	fixation_change	n/a	n/a	n/a
48.5513	0.0	response	n/a	n/a	0.3013
49.75	0.25	fixation_change	n/a	n/a	n/a
50.0482	0.0	response	n/a	n/a	0.2982
53.25	0.25	fixation_change	n/a	n/a	n/a
53.823	0.0	response	n/a	n/a	0.573
56.125	0.25	fixation_change	n/a	n/a	n/a
56.4058	0.0	response	n/a	n/a	0.2808
58.7581	0.5	image	fighter	n03335030_1550	n/a
64.0	0.25	fixation_change	n/a	n/a	n/a
64.3334	0.0	response	n/a	n/a	0.3334
70.5074	0.5	image	sportscar	n04285008_1094	n/a
72.0	0.25	fixation_change	n/a	n/a	n/a
72.3241	0.0	response	n/a	n/a	0.3241
79.875	0.25	fixation_change	n/a	n/a	n/a
80.2428	0.0	response	n/a	n/a	0.3678
82.75	0.25	fixation_change	n/a	n/a	n/a
83.0284	0.0	response	n/a	n/a	0.2784
84.5066	0.5	image	SiberianHusky	n02110185_1805	n/a
86.625	0.25	fixation_change	n/a	n/a	n/a
86.9061	0.0	response	n/a	n/a	0.2811
91.625	0.25	fixation_change	n/a	n/a	n/a
91.8659	0.0	response	n/a	n/a	0.2409
96.3894	0.5	image	airliner	n02690373_1350	n/a
97.0	0.25	fixation_change	n/a	n/a	n/a
97.3116	0.0	response	n/a	n/a	0.3116
101.875	0.25	fixation_change	n/a	n/a	n/a
102.2003	0.0	response	n/a	n/a	0.3253
109.625	0.25	fixation_change	n/a	n/a	n/a
109.7553	0.5	image	sportscar	n04285008_1785	n/a
110.0719	0.0	response	n/a	n/a	0.4469
112.125	0.25	fixation_change	n/a	n/a	n/a
112.4597	0.0	response	n/a	n/a	0.3347
114.25	0.25	fixation_change	n/a	n/a	n/a
114.6046	0.0	response	n/a	n/a	0.3546
115.5	0.25	fixation_change	n/a	n/a	n/a
115.9241	0.0	response	n/a	n/a	0.4241
122.2545	0.5	image	female	n09619168_3894	n/a
122.75	0.25	fixation_change	n/a	n/a	n/a
123.1411	0.0	response	n/a	n/a	0.3911
130.125	0.25	fixation_change	n/a	n/a	n/a
130.5447	0.0	response	n/a	n/a	0.4197
133.5039	0.5	image	sportscar	n04285008_1701	n/a
136.375	0.25	fixation_change	n/a	n/a	n/a
136.7994	0.0	response	n/a	n/a	0.4244
142.875	0.25	fixation_change	n/a	n/a	n/a
143.0034	0.5	image	toy_poodle	n02113624_157	n/a
143.1893	0.0	response	n/a	n/a	0.3143
144.25	0.25	fixation_change	n/a	n/a	n/a
144.6149	0.0	response	n/a	n/a	0.3649
152.75	0.25	fixation_change	n/a	n/a	n/a
153.0945	0.0	response	n/a	n/a	0.3445
155.7527	0.5	image	airliner	n02690373_1325	n/a
158.5	0.25	fixation_change	n/a	n/a	n/a
158.8813	0.0	response	n/a	n/a	0.3813
160.625	0.25	fixation_change	n/a	n/a	n/a
160.935	0.0	response	n/a	n/a	0.31
167.1354	0.5	image	airliner	n02690373_1131	n/a
167.75	0.25	fixation_change	n/a	n/a	n/a
168.0777	0.0	response	n/a	n/a	0.3277
173.625	0.25	fixation_change	n/a	n/a	n/a
174.3765	0.0	response	n/a	n/a	0.7515
177.2515	0.5	image	male	n09624168_1159	n/a
179.25	0.25	fixation_change	n/a	n/a	n/a
179.606	0.0	response	n/a	n/a	0.356
184.375	0.25	fixation_change	n/a	n/a	n/a
184.7548	0.0	response	n/a	n/a	0.3798
187.1343	0.5	image	SiberianHusky	n02110185_1178	n/a
192.0	0.25	fixation_change	n/a	n/a	n/a
192.3814	0.0	response	n/a	n/a	0.3814
195.75	0.25	fixation_change	n/a	n/a	n/a
196.0981	0.0	response	n/a	n/a	0.3481
200.1336	0.5	image	male	n09624168_2737	n/a
203.75	0.25	fixation_change	n/a	n/a	n/a
204.0447	0.0	response	n/a	n/a	0.2947
207.25	0.25	fixation_change	n/a	n/a	n/a
