onset	duration	trial_type	image_category	imnet_filename	reaction_time
2.625	0.25	fixation_change	n/a	n/a	n/a
3.2338	0.0	response	n/a	n/a	0.6088
10.25	0.25	fixation_change	n/a	n/a	n/a
10.6014	0.0	response	n/a	n/a	0.3514
12.0112	0.5	image	male	n09624168_2199	n/a
13.0	0.25	fixation_change	n/a	n/a	n/a
13.4383	0.0	response	n/a	n/a	0.4383
14.75	0.25	fixation_change	n/a	n/a	n/a
15.1072	0.0	response	n/a	n/a	0.3572
20.75	0.25	fixation_change	n/a	n/a	n/a
21.1538	0.0	response	n/a	n/a	0.4038
22.625	0.25	fixation_change	n/a	n/a	n/a
23.1187	0.0	response	n/a	n/a	0.4937
24.0107	0.5	image	toy_poodle	n02113624_212	n/a
30.0	0.25	fixation_change	n/a	n/a	n/a
30.5961	0.0	response	n/a	n/a	0.5961
37.8767	0.5	image	female	n09619168_1498	n/a
38.25	0.25	fixation_change	n/a	n/a	n/a
38.8399	0.0	response	n/a	n/a	0.5899
41.75	0.25	fixation_change	n/a	n/a	n/a
45.0	0.25	fixation_change	n/a	n/a	n/a
45.3166	0.0	response	n/a	n/a	0.3166
46.0	0.25	fixation_change	n/a	n/a	n/a
46.3376	0.0	response	n/a	n/a	0.3376
49.7593	0.5	image	sportscar	n04285008_1313	n/a
51.0	0.25	fixation_change	n/a	n/a	n/a
51.3753	0.0	response	n/a	n/a	0.3753
59.875	0.25	fixation_change	n/a	n/a	n/a
60.2558	0.0	response	n/a	n/a	0.3808
61.1254	0.5	image	SiberianHusky	n02110185_2249	n/a
66.75	0.25	fixation_change	n/a	n/a	n/a
67.2425	0.0	response	n/a	n/a	0.4925
70.25	0.25	fixation_change	n/a	n/a	n/a
70.8043	0.0	response	n/a	n/a	0.5543
71.1415	0.5	image	fighter	n03335030_1984	n/a
76.125	0.25	fixation_change	n/a	n/a	n/a
81.0076	0.5	image	SiberianHusky	n02110185_1469	n/a
83.375	0.25	fixation_change	n/a	n/a	n/a
83.8526	0.0	response	n/a	n/a	0.4776
85.25	0.25	fixation_change	n/a	n/a	n/a
85.6236	0.0	response	n/a	n/a	0.3736
90.875	0.25	fixation_change	n/a	n/a	n/a
91.2264	0.0	response	n/a	n/a	0.3514
92.3904	0.5	image	SiberianHusky	n02110185_3121	n/a
98.875	0.25	fixation_change	n/a	n/a	n/a
104.8898	0.5	image	female	n09619168_3002	n/a
105.375	0.25	fixation_change	n/a	n/a	n/a
105.9555	0.0	response	n/a	n/a	0.5805
108.25	0.25	fixation_change	n/a	n/a	n/a
108.5853	0.0	response	n/a	n/a	0.3353
112.0	0.25	fixation_change	n/a	n/a	n/a
112.3451	0.0	response	n/a	n/a	0.3451
117.375	0.25	fixation_change	n/a	n/a	n/a
117.8659	0.0	response	n/a	n/a	0.4909
118.7557	0.5	image	SiberianHusky	n02110185_2701	n/a
118.875	0.25	fixation_change	n/a	n/a	n/a
119.4288	0.0	response	n/a	n/a	0.5538
123.25	0.25	fixation_change	n/a	n/a	n/a
126.125	0.25	fixation_change	n/a	n/a	n/a
126.5193	0.0	response	n/a	n/a	0.3943
129.1385	0.5	image	sportscar	n04285008_2478	n/a
131.0	0.25	fixation_change	n/a	n/a	n/a
131.4462	0.0	response	n/a	n/a	0.4462
138.5	0.25	fixation_change	n/a	n/a	n/a
139.2546	0.5	image	jeep	n03594945_211	n/a
139.2574	0.0	response	n/a	n/a	0.7574
142.5	0.25	fixation_change	n/a	n/a	n/a
147.625	0.25	fixation_change	n/a	n/a	n/a
148.0192	0.0	response	n/a	n/a	0.3942
149.375	0.25	fixation_change	n/a	n/a	n/a
150.0041	0.5	image	jeep	n03594945_2889	n/a
150.0292	0.0	response	n/a	n/a	0.6542
157.625	0.25	fixation_change	n/a	n/a	n/a
158.0049	0.0	response	n/a	n/a	0.3799
159.2536	0.5	image	toy_poodle	n02113624_234	n/a
160.375	0.25	fixation_change	n/a	n/a	n/a
164.375	0.25	fixation_change	n/a	n/a	n/a
164.7424	0.0	response	n/a	n/a	0.3674
170.625	0.25	fixation_change	n/a	n/a	n/a
171.1364	0.5	image	female	n09619168_3345	n/a
177.75	0.25	fixation_change	n/a	n/a	n/a
